Time;SPINE_BASE_X,SPINE_BASE_Y,SPINE_BASE_Z;SPINE_MID_X,SPINE_MID_Y,SPINE_MID_Z;NECK_X,NECK_Y,NECK_Z;HEAD_X,HEAD_Y,HEAD_Z;SHOULDER_LEFT_X,SHOULDER_LEFT_Y,SHOULDER_LEFT_Z;ELBOW_LEFT_X,ELBOW_LEFT_Y,ELBOW_LEFT_Z;WRIST_LEFT_X,WRIST_LEFT_Y,WRIST_LEFT_Z;HAND_LEFT_X,HAND_LEFT_Y,HAND_LEFT_Z;SHOULDER_RIGHT_X,SHOULDER_RIGHT_Y,SHOULDER_RIGHT_Z;ELBOW_RIGHT_X,ELBOW_RIGHT_Y,ELBOW_RIGHT_Z;WRIST_RIGHT_X,WRIST_RIGHT_Y,WRIST_RIGHT_Z;HAND_RIGHT_X,HAND_RIGHT_Y,HAND_RIGHT_Z;HIP_LEFT_X,HIP_LEFT_Y,HIP_LEFT_Z;KNEE_LEFT_X,KNEE_LEFT_Y,KNEE_LEFT_Z;ANKLE_LEFT_X,ANKLE_LEFT_Y,ANKLE_LEFT_Z;FOOT_LEFT_X,FOOT_LEFT_Y,FOOT_LEFT_Z;HIP_RIGHT_X,HIP_RIGHT_Y,HIP_RIGHT_Z;KNEE_RIGHT_X,KNEE_RIGHT_Y,KNEE_RIGHT_Z;ANKLE_RIGHT_X,ANKLE_RIGHT_Y,ANKLE_RIGHT_Z;FOOT_RIGHT_X,FOOT_RIGHT_Y,FOOT_RIGHT_Z;SPINE_SHOULDER_X,SPINE_SHOULDER_Y,SPINE_SHOULDER_Z;HAND_TIP_LEFT_X,HAND_TIP_LEFT_Y,HAND_TIP_LEFT_Z;THUMB_LEFT_X,THUMB_LEFT_Y,THUMB_LEFT_Z;HAND_TIP_RIGHT_X,HAND_TIP_RIGHT_Y,HAND_TIP_RIGHT_Z;THUMB_RIGHT_X,THUMB_RIGHT_Y,THUMB_RIGHT_Z
620;0.16936022,0.03791525,1.8641768;0.1664999,0.10085661,1.9242404;0.20394267,0.472946,1.9382019;0.20421886,0.66972095,1.9354401;0.029128484,0.35014784,1.8905286;-0.04253436,0.082717605,1.8364291;-0.042552438,-0.13623331,1.7274983;-0.039168365,-0.20024495,1.6964674;0.3639577,0.3282583,1.9434607;0.38548088,0.06258643,1.9261705;0.37417114,-0.18189363,1.8655678;0.3646506,-0.2734817,1.8371992;0.08805064,-0.032297168,1.8343574;-0.004890605,-0.47051483,1.8259027;-0.071301065,-0.8265747,1.837182;-0.06796729,-0.8806241,1.7457609;0.23872378,-0.04214746,1.8635556;0.2336802,-0.48371863,1.8763999;0.2502102,-0.84865516,1.9064162;0.27063856,-0.905,1.8186767;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
652;0.16773024,0.038025998,1.8639561;0.165014,0.10095914,1.9240375;0.20297016,0.4730144,1.9380505;0.20266514,0.66993344,1.9348726;0.028259989,0.35033485,1.8905432;-0.043433476,0.082084596,1.8362968;-0.046040524,-0.13661425,1.7289343;-0.04221448,-0.20036454,1.6972461;0.36358768,0.3284318,1.9433993;0.3849548,0.062429547,1.925988;0.37318826,-0.1817645,1.865217;0.3640793,-0.27356684,1.8370405;0.086073324,-0.032280948,1.8341749;-0.013735092,-0.45490125,1.8244152;-0.090420105,-0.8186082,1.8375236;-0.08891902,-0.8731726,1.7463448;0.23713666,-0.04209343,1.8632386;0.2331966,-0.48279303,1.876071;0.24893877,-0.8447334,1.9059992;0.26916218,-0.90118235,1.8182507;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
683;0.16540027,0.03806614,1.863664;0.16306907,0.10096973,1.9237987;0.2019845,0.4729726,1.9379361;0.2009582,0.66990036,1.9345008;0.027378934,0.35036328,1.8905939;-0.04384181,0.08180078,1.8362266;-0.0484551,-0.13682947,1.7299788;-0.04432053,-0.20035967,1.69772;0.36319175,0.32846013,1.9433028;0.38461033,0.062380794,1.925892;0.37256306,-0.18185987,1.8649449;0.3635678,-0.27373388,1.8368498;0.08311391,-0.032302484,1.8339379;-0.027342968,-0.43965998,1.8226936;-0.09914783,-0.72447324,1.8262935;-0.099923074,-0.7870171,1.7358764;0.23469974,-0.042104844,1.8627741;0.22717771,-0.46866858,1.8749648;0.24270198,-0.75113875,1.8907137;0.26457453,-0.8156983,1.803897;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
714;0.15779579,0.03760784,1.8627002;0.1569771,0.100546904,1.9230292;0.1992737,0.47271362,1.9375708;0.19407837,0.6694775,1.9336265;0.02298332,0.35045817,1.8908501;-0.04571447,0.08107903,1.8361363;-0.055613343,-0.13780962,1.7322084;-0.05047282,-0.20105821,1.6987991;0.36020002,0.32862413,1.9424222;0.38306162,0.062271953,1.9255246;0.37018484,-0.18235992,1.8640627;0.36144233,-0.27390385,1.8362262;0.07393151,-0.03294396,1.8334285;-0.043508835,-0.42624754,1.8217716;-0.11628865,-0.66339535,1.8189335;-0.11977256,-0.71647644,1.7267374;0.2262164,-0.04266712,1.8610398;0.22274232,-0.45895866,1.8732191;0.23763481,-0.7054819,1.8824197;0.26032537,-0.7734168,1.7962025;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
745;0.14139922,0.036029853,1.8606372;0.14214772,0.09908916,1.9211345;0.18643788,0.4717729,1.9356124;0.18194015,0.6687153,1.9324046;0.01015904,0.3498933,1.8915852;-0.055173375,0.078670606,1.8361154;-0.08655966,-0.14161795,1.7399551;-0.07319084,-0.20306131,1.702611;0.35149774,0.32875252,1.9398596;0.3765233,0.061138153,1.9238188;0.36460364,-0.182856,1.8621254;0.356601,-0.27376086,1.8348055;0.056028076,-0.035033092,1.832401;-0.064940006,-0.4096133,1.8207719;-0.14260097,-0.62522084,1.8144596;-0.15077181,-0.6765191,1.7214562;0.2103443,-0.044268616,1.8579439;0.21898766,-0.45203686,1.8712469;0.2349085,-0.68505794,1.8785166;0.2576519,-0.75413656,1.7924713;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
777;0.120897114,0.033141468,1.8581432;0.123045094,0.096438706,1.9187005;0.16769305,0.4698838,1.9323792;0.16326113,0.6675472,1.93051;-0.009055114,0.347849,1.8923784;-0.07685182,0.075061135,1.8373253;-0.11739488,-0.14518295,1.7459636;-0.10737932,-0.20661177,1.7075635;0.33352178,0.32859826,1.9347241;0.36466196,0.05866359,1.920436;0.35584566,-0.18302745,1.8590156;0.34788266,-0.2734809,1.8321809;0.035395004,-0.038444463,1.8314451;-0.085141554,-0.3965327,1.8192778;-0.17680515,-0.6160809,1.8126856;-0.19128835,-0.66625166,1.7192298;0.18994536,-0.046917584,1.8541918;0.21406412,-0.44490448,1.8681828;0.23301889,-0.67279166,1.8760908;0.25574905,-0.74220955,1.7901185;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
808;0.10105841,0.030171266,1.8556608;0.1040535,0.09348026,1.9162686;0.14821132,0.46719342,1.9294088;0.13037118,0.66357416,1.9263668;-0.032709472,0.3446409,1.8927703;-0.09792417,0.071832106,1.8381051;-0.1552149,-0.17235021,1.7354146;-0.120584756,-0.21861425,1.7040198;0.31071508,0.32667696,1.9284747;0.34608543,0.053370982,1.9147279;0.34096092,-0.1846801,1.8534801;0.33501694,-0.2736243,1.8281815;0.015527414,-0.04172675,1.83025;-0.10389413,-0.38808194,1.8175645;-0.20501764,-0.61749756,1.8127699;-0.22221427,-0.6688905,1.7196138;0.17011696,-0.049766652,1.8505323;0.20707023,-0.43770355,1.8640977;0.2299383,-0.6679547,1.8740785;0.25373334,-0.73420894,1.7882652;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
839;0.076027535,0.027151031,1.8519834;0.07907422,0.09007187,1.9124916;0.114334606,0.46177313,1.9237332;0.10588106,0.65977174,1.9231255;-0.060589254,0.34098315,1.8930578;-0.124811284,0.06825208,1.8388909;-0.17204782,-0.18215929,1.7317677;-0.14222263,-0.23268531,1.6990234;0.2714632,0.32446447,1.918386;0.32379857,0.046866246,1.9077386;0.32689747,-0.1870417,1.8480761;0.32191643,-0.27567115,1.8230946;-0.005753122,-0.044305865,1.8286364;-0.11981319,-0.38370097,1.8164486;-0.2272189,-0.62531775,1.8135817;-0.24654071,-0.6746199,1.7205092;0.14399026,-0.051902838,1.8452265;0.1815994,-0.41066736,1.8515452;0.22096407,-0.66819805,1.871809;0.24789675,-0.7297009,1.7863779;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
870;0.052533552,0.024960387,1.8484212;0.05548042,0.08743965,1.9088784;0.086339734,0.4579021,1.9195524;0.074235864,0.6546884,1.9196151;-0.09917131,0.3341118,1.892611;-0.1537512,0.060730908,1.8381873;-0.19618295,-0.17929552,1.73389;-0.1755033,-0.23129527,1.7019738;0.24425092,0.32113025,1.9120252;0.3011433,0.041971553,1.9008416;0.3086572,-0.1894975,1.841918;0.30509347,-0.2781339,1.8173;-0.030091047,-0.04675383,1.8259805;-0.13831888,-0.38319516,1.8151857;-0.2587323,-0.6447421,1.8173321;-0.28095886,-0.69342846,1.7250506;0.12265971,-0.053549875,1.8410093;0.16679652,-0.39827394,1.8451352;0.21273264,-0.67141885,1.8703192;0.24149783,-0.72835267,1.7849442;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
917;0.023806212,0.02290573,1.8440498;0.026894718,0.08474211,1.9046732;0.05472349,0.4540729,1.916308;0.04368201,0.65041924,1.9166932;-0.1262073,0.33016586,1.8920435;-0.18339776,0.054079972,1.8372644;-0.2124895,-0.17857416,1.7362374;-0.20027505,-0.22903885,1.7043747;0.21243244,0.31603765,1.9050522;0.27453476,0.03744654,1.8940129;0.28890106,-0.19244109,1.836327;0.2815278,-0.2814222,1.8099656;-0.056982446,-0.04789259,1.8223649;-0.16144484,-0.38909787,1.81358;-0.27161556,-0.65232754,1.8188578;-0.29458907,-0.70191014,1.7272583;0.09332252,-0.056552466,1.8354899;0.15389611,-0.39002493,1.8397171;0.20472334,-0.6749925,1.8686535;0.23412345,-0.7290953,1.7834871;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
