Time;SPINE_BASE_X,SPINE_BASE_Y,SPINE_BASE_Z;SPINE_MID_X,SPINE_MID_Y,SPINE_MID_Z;NECK_X,NECK_Y,NECK_Z;HEAD_X,HEAD_Y,HEAD_Z;SHOULDER_LEFT_X,SHOULDER_LEFT_Y,SHOULDER_LEFT_Z;ELBOW_LEFT_X,ELBOW_LEFT_Y,ELBOW_LEFT_Z;WRIST_LEFT_X,WRIST_LEFT_Y,WRIST_LEFT_Z;HAND_LEFT_X,HAND_LEFT_Y,HAND_LEFT_Z;SHOULDER_RIGHT_X,SHOULDER_RIGHT_Y,SHOULDER_RIGHT_Z;ELBOW_RIGHT_X,ELBOW_RIGHT_Y,ELBOW_RIGHT_Z;WRIST_RIGHT_X,WRIST_RIGHT_Y,WRIST_RIGHT_Z;HAND_RIGHT_X,HAND_RIGHT_Y,HAND_RIGHT_Z;HIP_LEFT_X,HIP_LEFT_Y,HIP_LEFT_Z;KNEE_LEFT_X,KNEE_LEFT_Y,KNEE_LEFT_Z;ANKLE_LEFT_X,ANKLE_LEFT_Y,ANKLE_LEFT_Z;FOOT_LEFT_X,FOOT_LEFT_Y,FOOT_LEFT_Z;HIP_RIGHT_X,HIP_RIGHT_Y,HIP_RIGHT_Z;KNEE_RIGHT_X,KNEE_RIGHT_Y,KNEE_RIGHT_Z;ANKLE_RIGHT_X,ANKLE_RIGHT_Y,ANKLE_RIGHT_Z;FOOT_RIGHT_X,FOOT_RIGHT_Y,FOOT_RIGHT_Z;SPINE_SHOULDER_X,SPINE_SHOULDER_Y,SPINE_SHOULDER_Z;HAND_TIP_LEFT_X,HAND_TIP_LEFT_Y,HAND_TIP_LEFT_Z;THUMB_LEFT_X,THUMB_LEFT_Y,THUMB_LEFT_Z;HAND_TIP_RIGHT_X,HAND_TIP_RIGHT_Y,HAND_TIP_RIGHT_Z;THUMB_RIGHT_X,THUMB_RIGHT_Y,THUMB_RIGHT_Z
928;-0.1729022,-0.13886452,1.5905463;-0.18224841,-0.08190877,1.6470922;-0.18323258,0.27719325,1.7128506;-0.1869053,0.47128206,1.7123175;-0.35726538,0.15626535,1.6637846;-0.43823704,-0.053707473,1.6709976;-0.39819333,-0.2567252,1.6130506;-0.37881738,-0.3294748,1.5960441;-0.008965945,0.13857333,1.7257167;0.18088475,0.023234203,1.7117099;0.4232137,0.039456163,1.641514;0.517566,0.091918856,1.6108084;-0.24991223,-0.21220452,1.5516831;-0.29560837,-0.5417117,1.5415633;-0.33610952,-0.8327805,1.5209965;-0.3297691,-0.8708959,1.4431865;-0.09272107,-0.21847151,1.5799977;-0.065204054,-0.537207,1.5104524;-0.04033726,-0.8324303,1.4352441;-0.02204892,-0.85361934,1.3532728;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
959;-0.17363109,-0.13868378,1.592132;-0.18307924,-0.08193505,1.6492182;-0.1843106,0.27717367,1.7140113;-0.18984374,0.47132736,1.7143929;-0.35909876,0.15606113,1.6656761;-0.43861416,-0.053802226,1.6716502;-0.35254738,-0.277347,1.5589404;-0.3166373,-0.35683504,1.5184004;-0.0098493155,0.13860483,1.7262421;0.18885194,0.02552078,1.709554;0.44830152,0.045010746,1.6388755;0.53210926,0.079011805,1.6160048;-0.25060406,-0.2121287,1.5533726;-0.29580355,-0.5416672,1.5426985;-0.33663353,-0.8383705,1.5218792;-0.33036315,-0.8771559,1.4425683;-0.09336266,-0.21818477,1.5815189;-0.065510616,-0.5371343,1.5116156;-0.0399738,-0.8370193,1.4352955;-0.021592615,-0.8587024,1.3518461;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1006;-0.17427976,-0.13852026,1.5933951;-0.18379831,-0.08196429,1.6509727;-0.1853425,0.27716368,1.7149938;-0.19236961,0.47137684,1.7161465;-0.3607689,0.15589474,1.6672847;-0.43896905,-0.0539014,1.6722286;-0.33480734,-0.28542194,1.5397136;-0.29340142,-0.367408,1.492176;-0.010620481,0.13875897,1.7265694;0.1944739,0.027031694,1.7074515;0.45990303,0.045186844,1.6379645;0.54089427,0.06922435,1.6208795;-0.25126222,-0.2120998,1.5547445;-0.2959786,-0.5416315,1.5436387;-0.33709702,-0.8439227,1.5226158;-0.33095136,-0.8833266,1.4418257;-0.09388965,-0.21792445,1.5826917;-0.06578051,-0.53706545,1.5125616;-0.039627746,-0.84163314,1.4352313;-0.021224488,-0.86378735,1.3502929;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1037;-0.17486462,-0.13837144,1.5943886;-0.18442026,-0.0819952,1.6524067;-0.18631656,0.2771626,1.7158251;-0.19476897,0.4714289,1.7177143;-0.36223853,0.15575588,1.668615;-0.43929607,-0.053999104,1.6727388;-0.33313346,-0.285679,1.5313025;-0.31379738,-0.3559175,1.4949713;-0.0113672605,0.13901009,1.7266535;0.19806907,0.027966691,1.7059215;0.42015156,0.036550365,1.6458974;0.5049748,0.052938655,1.6350982;-0.251877,-0.2120926,1.5558616;-0.29613483,-0.54160124,1.5444108;-0.33745688,-0.8487379,1.5231729;-0.33148214,-0.888599,1.4411054;-0.094346896,-0.21767724,1.583561;-0.06605925,-0.5369817,1.513333;-0.039429966,-0.84568495,1.4351529;-0.021093369,-0.8682154,1.3489115;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1068;-0.1753905,-0.13821739,1.5951709;-0.1849633,-0.08200913,1.6535834;-0.18718609,0.2771775,1.7165196;-0.19675969,0.4715183,1.7190263;-0.36348787,0.15565114,1.6696875;-0.43975416,-0.054147597,1.673394;-0.33968484,-0.28452435,1.5317466;-0.29927126,-0.36355767,1.4788549;-0.012014473,0.13929248,1.7266179;0.2004325,0.02855943,1.7048017;0.4001205,0.033471707,1.6499211;0.48367473,0.04867968,1.6432354;-0.25243005,-0.21209033,1.5567577;-0.29627576,-0.541573,1.5450423;-0.3377728,-0.85307276,1.5235945;-0.3319716,-0.89332056,1.4403776;-0.0947614,-0.21740253,1.5842078;-0.06630964,-0.5369029,1.5139503;-0.0392569,-0.8493177,1.4350808;-0.020998083,-0.8721664,1.3476686;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1099;-0.1758347,-0.13808562,1.5957766;-0.18541947,-0.082030125,1.6545486;-0.1879717,0.2772266,1.7171363;-0.1985031,0.4716408,1.7202215;-0.36449176,0.15556414,1.6705211;-0.44003904,-0.054244,1.6737938;-0.3365226,-0.2865155,1.5264345;-0.30510882,-0.36219272,1.4806474;-0.012580992,0.1395866,1.726514;0.20181492,0.028837508,1.7038959;0.38725019,0.03457516,1.6527246;0.46976995,0.052273076,1.6464711;-0.2528956,-0.21209903,1.5574586;-0.29640165,-0.5415491,1.5455656;-0.33817753,-0.85797995,1.523962;-0.3325657,-0.89859027,1.4396136;-0.09511778,-0.21714507,1.5846846;-0.06654132,-0.5368267,1.5144469;-0.03908702,-0.8536028,1.4348644;-0.02092215,-0.87674344,1.3462635;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1131;-0.1762037,-0.13797659,1.5962424;-0.1858012,-0.08205983,1.6553468;-0.18864106,0.27728686,1.7176733;-0.19985765,0.4717748,1.721258;-0.36526522,0.1554982,1.6711558;-0.4402877,-0.054332938,1.6741161;-0.34118813,-0.28546205,1.5287635;-0.31360567,-0.35968304,1.4866523;-0.013039806,0.13983779,1.7263954;0.19746494,0.028168488,1.7042387;0.37072787,0.039403085,1.6576632;0.4430494,0.0761609,1.6485685;-0.2532803,-0.21211779,1.5579966;-0.29651195,-0.54152864,1.5459994;-0.338523,-0.8620155,1.5242627;-0.3330624,-0.90291065,1.4389968;-0.095418885,-0.21691291,1.5850334;-0.066757545,-0.53675383,1.5148464;-0.039001763,-0.8572024,1.4346524;-0.02091447,-0.8805501,1.345068;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1162;-0.17649576,-0.13789853,1.5965918;-0.18611652,-0.08210401,1.6560098;-0.18918964,0.27735737,1.7181488;-0.20088756,0.47194088,1.7222866;-0.36584836,0.15544751,1.671635;-0.44050762,-0.05441747,1.6743743;-0.34655905,-0.28397676,1.5325183;-0.32150126,-0.35722965,1.4932674;-0.013409505,0.14004429,1.7262866;0.19208972,0.027005317,1.7055656;0.36326894,0.041805707,1.6607153;0.41892236,0.14825174,1.6462401;-0.25357682,-0.21215211,1.5583922;-0.29660916,-0.54151165,1.5463622;-0.33882567,-0.8651397,1.5245303;-0.33348358,-0.9062466,1.438573;-0.09566534,-0.21671312,1.5852879;-0.06697305,-0.5366865,1.5151687;-0.039036408,-0.86002076,1.4344534;-0.021014577,-0.883494,1.3441089;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1209;-0.17672256,-0.1378433,1.5968531;-0.18637462,-0.08216138,1.6565661;-0.18958884,0.27744234,1.7185928;-0.20158786,0.47208887,1.7232398;-0.3662759,0.15541011,1.6719967;-0.44069147,-0.054486584,1.6745718;-0.3617879,-0.273617,1.5426921;-0.343584,-0.34125733,1.5090047;-0.013680526,0.14019318,1.7262189;0.18490106,0.024863875,1.7088026;0.35651055,0.04605846,1.6644738;0.40150136,0.16368426,1.6499945;-0.25380948,-0.21218924,1.5586927;-0.29669592,-0.5414992,1.5466706;-0.33907595,-0.8674848,1.5247511;-0.33381614,-0.90874386,1.4382812;-0.095863804,-0.21654709,1.5854615;-0.06718156,-0.5365853,1.5154314;-0.039098274,-0.8621911,1.434277;-0.021116512,-0.8857324,1.3433568;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1240;-0.17689341,-0.13780947,1.5970447;-0.18658814,-0.08223374,1.6570349;-0.18988003,0.27753478,1.718995;-0.20199512,0.4722354,1.724153;-0.36655888,0.15538347,1.672255;-0.44084057,-0.05454312,1.6747237;-0.3652302,-0.2720932,1.5451713;-0.34787685,-0.33907545,1.512298;-0.013855694,0.14027706,1.7261965;0.1790804,0.023153173,1.7120919;0.31307063,0.119547464,1.6767852;0.31347674,0.2227837,1.6638256;-0.25398245,-0.212226,1.5589082;-0.29677382,-0.5414888,1.5469356;-0.33930936,-0.86935514,1.5249643;-0.33409676,-0.9107548,1.4380949;-0.09601885,-0.21642002,1.5855826;-0.067408435,-0.5365003,1.5156295;-0.039277405,-0.86401623,1.4340563;-0.021311268,-0.88759583,1.34266;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
