Time;SPINE_BASE_X,SPINE_BASE_Y,SPINE_BASE_Z;SPINE_MID_X,SPINE_MID_Y,SPINE_MID_Z;NECK_X,NECK_Y,NECK_Z;HEAD_X,HEAD_Y,HEAD_Z;SHOULDER_LEFT_X,SHOULDER_LEFT_Y,SHOULDER_LEFT_Z;ELBOW_LEFT_X,ELBOW_LEFT_Y,ELBOW_LEFT_Z;WRIST_LEFT_X,WRIST_LEFT_Y,WRIST_LEFT_Z;HAND_LEFT_X,HAND_LEFT_Y,HAND_LEFT_Z;SHOULDER_RIGHT_X,SHOULDER_RIGHT_Y,SHOULDER_RIGHT_Z;ELBOW_RIGHT_X,ELBOW_RIGHT_Y,ELBOW_RIGHT_Z;WRIST_RIGHT_X,WRIST_RIGHT_Y,WRIST_RIGHT_Z;HAND_RIGHT_X,HAND_RIGHT_Y,HAND_RIGHT_Z;HIP_LEFT_X,HIP_LEFT_Y,HIP_LEFT_Z;KNEE_LEFT_X,KNEE_LEFT_Y,KNEE_LEFT_Z;ANKLE_LEFT_X,ANKLE_LEFT_Y,ANKLE_LEFT_Z;FOOT_LEFT_X,FOOT_LEFT_Y,FOOT_LEFT_Z;HIP_RIGHT_X,HIP_RIGHT_Y,HIP_RIGHT_Z;KNEE_RIGHT_X,KNEE_RIGHT_Y,KNEE_RIGHT_Z;ANKLE_RIGHT_X,ANKLE_RIGHT_Y,ANKLE_RIGHT_Z;FOOT_RIGHT_X,FOOT_RIGHT_Y,FOOT_RIGHT_Z;SPINE_SHOULDER_X,SPINE_SHOULDER_Y,SPINE_SHOULDER_Z;HAND_TIP_LEFT_X,HAND_TIP_LEFT_Y,HAND_TIP_LEFT_Z;THUMB_LEFT_X,THUMB_LEFT_Y,THUMB_LEFT_Z;HAND_TIP_RIGHT_X,HAND_TIP_RIGHT_Y,HAND_TIP_RIGHT_Z;THUMB_RIGHT_X,THUMB_RIGHT_Y,THUMB_RIGHT_Z
607;-0.34985057,0.040946245,1.859573;-0.34821373,0.10441165,1.9147835;-0.35212272,0.46523678,1.907536;-0.37512362,0.6621778,1.8946003;-0.5238394,0.3242091,1.8961803;-0.5557302,0.048687655,1.882314;-0.54830974,-0.18396728,1.8340392;-0.55021715,-0.25136086,1.8123547;-0.18316826,0.3450184,1.8854643;-0.114285246,0.078281194,1.8408244;-0.14091524,-0.1527658,1.7467276;-0.15376407,-0.23467202,1.7073162;-0.42609426,-0.039794754,1.8516613;-0.42491302,-0.4492458,1.8694286;-0.42279235,-0.7115654,1.8978633;-0.48127258,-0.7774013,1.8815447;-0.27279225,-0.030430574,1.8453945;-0.28904018,-0.45030996,1.8104205;-0.2868768,-0.6790125,1.8069421;-0.29023388,-0.73029363,1.714963;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
638;-0.34959623,0.04113987,1.8594108;-0.34803396,0.10459748,1.9146416;-0.35184202,0.46547705,1.9075112;-0.37424952,0.66278684,1.8947058;-0.52358305,0.32440102,1.8958887;-0.5553633,0.04890741,1.8819227;-0.5469349,-0.18343484,1.8319182;-0.54994667,-0.251218,1.8120797;-0.1825698,0.34509206,1.885668;-0.11419937,0.07822026,1.8408484;-0.14053048,-0.15303575,1.7467265;-0.15351251,-0.23480679,1.7074479;-0.4258733,-0.03959795,1.8513697;-0.42486024,-0.44919083,1.8694614;-0.42181823,-0.7111008,1.8983897;-0.48068333,-0.7768905,1.8813487;-0.2725021,-0.030300153,1.8453022;-0.2863562,-0.4517189,1.8092033;-0.2830435,-0.6786569,1.8059974;-0.26251394,-0.74800587,1.757861;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
670;-0.34944898,0.041195,1.8593593;-0.34794196,0.10464221,1.9146028;-0.35177645,0.46552113,1.9075058;-0.3737257,0.66299456,1.8947542;-0.52349955,0.32446104,1.8958138;-0.55526835,0.048951592,1.8818184;-0.5466289,-0.18331814,1.8314216;-0.54986733,-0.25117186,1.8119917;-0.1823731,0.34509745,1.8857421;-0.114178516,0.07820984,1.8408592;-0.14042135,-0.15310237,1.7467499;-0.15335031,-0.23485564,1.7075405;-0.42570692,-0.039528497,1.8512588;-0.4247894,-0.44922227,1.8695016;-0.41991806,-0.7171692,1.9052836;-0.47798276,-0.77477014,1.8746527;-0.27230275,-0.030271927,1.8452772;-0.2824125,-0.4517554,1.808139;-0.27265206,-0.6753925,1.8012702;-0.2544898,-0.74168015,1.746541;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
701;-0.3481219,0.041152548,1.85912;-0.34703562,0.10463629,1.9144511;-0.3513068,0.46568418,1.9075453;-0.3718297,0.66366357,1.8951392;-0.52295953,0.32479054,1.8955184;-0.5548945,0.049253143,1.8814006;-0.54574066,-0.18278898,1.8303547;-0.54881394,-0.2508553,1.8108695;-0.18180153,0.34507936,1.8859737;-0.114089504,0.07817128,1.8409405;-0.1397238,-0.15300281,1.7472858;-0.15249056,-0.23504715,1.7081423;-0.4240664,-0.039448295,1.8506202;-0.4164472,-0.4754069,1.8767469;-0.41940677,-0.7184189,1.9065431;-0.47574067,-0.7764121,1.872926;-0.27067593,-0.030488886,1.8452231;-0.2634322,-0.45844367,1.8066325;-0.23884416,-0.68480355,1.7922866;-0.2687257,-0.75034636,1.7887222;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
732;-0.34451342,0.040871203,1.858568;-0.34439638,0.10449165,1.9140909;-0.34952366,0.46620703,1.9076909;-0.3651902,0.6655592,1.8964039;-0.5212649,0.32559705,1.8946956;-0.5536698,0.04986963,1.8801451;-0.5439136,-0.18191904,1.8282241;-0.5458748,-0.24973965,1.8072529;-0.17930634,0.34490222,1.886869;-0.11359099,0.077935226,1.841388;-0.13703315,-0.15259387,1.7494273;-0.14880218,-0.23519649,1.7108047;-0.4201142,-0.039507043,1.8491627;-0.41294622,-0.4864247,1.8799682;-0.4191438,-0.72024953,1.9072592;-0.47152394,-0.78142995,1.8712614;-0.2662365,-0.031266056,1.845214;-0.22398965,-0.46425834,1.8001746;-0.20185992,-0.7145174,1.788393;-0.21461679,-0.77695876,1.7447027;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
763;-0.3348565,0.039396558,1.8572936;-0.33710855,0.10351487,1.9132253;-0.34536678,0.4670868,1.9079499;-0.35334772,0.6678681,1.8984817;-0.5158279,0.32657254,1.8924452;-0.5504013,0.050889507,1.8770175;-0.5385099,-0.18016675,1.822122;-0.5401432,-0.24812391,1.8005528;-0.17364134,0.3446724,1.8887548;-0.11200513,0.07744317,1.8426055;-0.13107365,-0.15336847,1.7534101;-0.13873912,-0.236464,1.7170525;-0.40896487,-0.040942755,1.8457266;-0.41055557,-0.49250647,1.8825704;-0.4192247,-0.72429127,1.9073045;-0.46893078,-0.78556806,1.8678544;-0.2556204,-0.0332176,1.8452921;-0.2010064,-0.46722028,1.7979102;-0.14724375,-0.7418964,1.786889;-0.13924302,-0.79645336,1.7105694;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
810;-0.3209728,0.03724861,1.8556712;-0.32510763,0.10180402,1.912041;-0.3356941,0.46844175,1.908709;-0.33711818,0.66998,1.9012003;-0.5064468,0.32786357,1.8891585;-0.5441919,0.05211031,1.8716612;-0.5308259,-0.17838417,1.8138238;-0.52935594,-0.24452233,1.7888409;-0.16462152,0.34426758,1.8911768;-0.10842204,0.07636434,1.8450692;-0.12070364,-0.15494896,1.7593503;-0.11648468,-0.23701347,1.7298789;-0.3945227,-0.04273736,1.8417859;-0.39950976,-0.48319572,1.8926048;-0.4190134,-0.724095,1.9063699;-0.4442995,-0.777524,1.8341184;-0.24132733,-0.035752743,1.8452873;-0.16091916,-0.44586158,1.7897062;-0.10383656,-0.7019376,1.7810409;-0.085831605,-0.7547005,1.6843721;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
842;-0.3043705,0.035197727,1.8540955;-0.30997166,0.0999611,1.9108982;-0.32162794,0.4697377,1.9100087;-0.3201576,0.6706529,1.9035212;-0.4924203,0.32870334,1.8849021;-0.53166384,0.054127887,1.8616647;-0.50964975,-0.17399977,1.7929696;-0.50425094,-0.23732094,1.7638397;-0.14677331,0.3430074,1.8949484;-0.102064505,0.07442399,1.8489028;-0.10334371,-0.15627423,1.7686077;-0.08082634,-0.23083784,1.7482013;-0.3784546,-0.044512436,1.8379544;-0.39176846,-0.4753023,1.8985763;-0.4185321,-0.7238862,1.9055357;-0.4309107,-0.77406716,1.8177855;-0.22351599,-0.038386837,1.8452693;-0.13617739,-0.4304934,1.7852947;-0.06222164,-0.674246,1.776262;-0.037736416,-0.7177051,1.6700894;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
873;-0.28687856,0.033922743,1.8523809;-0.29340124,0.09857361,1.9095411;-0.30606693,0.47033352,1.9108988;-0.29928866,0.6700726,1.9053037;-0.47510123,0.32964197,1.8808627;-0.5146994,0.056596674,1.8505317;-0.49019197,-0.17032443,1.7766842;-0.48507422,-0.23354286,1.7456744;-0.13031767,0.34151065,1.8977289;-0.09218214,0.071617745,1.853668;-0.08536847,-0.15847751,1.7776805;-0.060677182,-0.22364038,1.7599694;-0.36057383,-0.045293447,1.8340658;-0.37668115,-0.4460619,1.8793396;-0.4178313,-0.723312,1.9047049;-0.4186869,-0.7847065,1.8333817;-0.20607844,-0.040154483,1.844942;-0.10264306,-0.40897614,1.7837651;-0.03006452,-0.6520671,1.7726526;-0.002973577,-0.69251156,1.6642147;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
904;-0.26725888,0.0342811,1.850388;-0.27405307,0.09837127,1.9078635;-0.28481537,0.47007233,1.9115232;-0.27854627,0.66909724,1.9059167;-0.45594877,0.32996574,1.8773209;-0.499507,0.05746217,1.8423175;-0.4692794,-0.16804014,1.7633492;-0.46492958,-0.23005264,1.7300394;-0.110151015,0.33897722,1.9001817;-0.06587783,0.06517729,1.8634157;-0.051107295,-0.16346313,1.7915897;-0.036227956,-0.2132101,1.7723827;-0.33997777,-0.04484645,1.8299739;-0.36901715,-0.43194062,1.8692845;-0.41495207,-0.72059286,1.9018095;-0.41146109,-0.784174,1.8273971;-0.18807562,-0.039994057,1.8441385;-0.08376862,-0.40118766,1.7830137;0.0073408,-0.6379463,1.7706459;0.04034052,-0.67493314,1.6650774;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
