Time;SPINE_BASE_X,SPINE_BASE_Y,SPINE_BASE_Z;SPINE_MID_X,SPINE_MID_Y,SPINE_MID_Z;NECK_X,NECK_Y,NECK_Z;HEAD_X,HEAD_Y,HEAD_Z;SHOULDER_LEFT_X,SHOULDER_LEFT_Y,SHOULDER_LEFT_Z;ELBOW_LEFT_X,ELBOW_LEFT_Y,ELBOW_LEFT_Z;WRIST_LEFT_X,WRIST_LEFT_Y,WRIST_LEFT_Z;HAND_LEFT_X,HAND_LEFT_Y,HAND_LEFT_Z;SHOULDER_RIGHT_X,SHOULDER_RIGHT_Y,SHOULDER_RIGHT_Z;ELBOW_RIGHT_X,ELBOW_RIGHT_Y,ELBOW_RIGHT_Z;WRIST_RIGHT_X,WRIST_RIGHT_Y,WRIST_RIGHT_Z;HAND_RIGHT_X,HAND_RIGHT_Y,HAND_RIGHT_Z;HIP_LEFT_X,HIP_LEFT_Y,HIP_LEFT_Z;KNEE_LEFT_X,KNEE_LEFT_Y,KNEE_LEFT_Z;ANKLE_LEFT_X,ANKLE_LEFT_Y,ANKLE_LEFT_Z;FOOT_LEFT_X,FOOT_LEFT_Y,FOOT_LEFT_Z;HIP_RIGHT_X,HIP_RIGHT_Y,HIP_RIGHT_Z;KNEE_RIGHT_X,KNEE_RIGHT_Y,KNEE_RIGHT_Z;ANKLE_RIGHT_X,ANKLE_RIGHT_Y,ANKLE_RIGHT_Z;FOOT_RIGHT_X,FOOT_RIGHT_Y,FOOT_RIGHT_Z;SPINE_SHOULDER_X,SPINE_SHOULDER_Y,SPINE_SHOULDER_Z;HAND_TIP_LEFT_X,HAND_TIP_LEFT_Y,HAND_TIP_LEFT_Z;THUMB_LEFT_X,THUMB_LEFT_Y,THUMB_LEFT_Z;HAND_TIP_RIGHT_X,HAND_TIP_RIGHT_Y,HAND_TIP_RIGHT_Z;THUMB_RIGHT_X,THUMB_RIGHT_Y,THUMB_RIGHT_Z
630;-0.10129575,-0.12906583,1.608217;-0.09638833,-0.07127225,1.6601506;-0.081076816,0.2809796,1.7193635;-0.10346747,0.47522044,1.6923138;-0.26429883,0.1583677,1.700676;-0.33460766,-0.053576734,1.7236859;-0.39813712,-0.2228495,1.7565495;-0.4193136,-0.27927375,1.7708352;0.07351329,0.16028948,1.6865937;0.16002445,-0.028681174,1.6961532;0.22875494,-0.16909443,1.7865899;0.25166512,-0.21589884,1.8200666;-0.18089524,-0.20234029,1.5888436;-0.21578147,-0.5538379,1.5736599;-0.24266714,-0.8247256,1.550043;-0.2511031,-0.8551516,1.4749851;-0.028879799,-0.20147549,1.5845509;0.009867993,-0.52918696,1.5159261;0.043434884,-0.81308067,1.4455174;0.045215435,-0.83309734,1.3666077;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
630;-0.101294555,-0.12907103,1.6082164;-0.09662107,-0.07127248,1.6601621;-0.08116697,0.28097007,1.7194052;-0.10346998,0.47520956,1.6923548;-0.2642491,0.15837175,1.7006187;-0.33460206,-0.053613946,1.7236738;-0.39778006,-0.22292873,1.7569697;-0.41883942,-0.279367,1.7713993;0.07429162,0.1613027,1.6890073;0.15991583,-0.02903953,1.6907909;0.24256237,-0.16064017,1.7818959;0.27011123,-0.20450702,1.8155951;-0.18089442,-0.2024311,1.5887648;-0.21576077,-0.55383974,1.5736697;-0.24261326,-0.8244789,1.5501239;-0.2505719,-0.85497195,1.4750445;-0.028850347,-0.20147413,1.584589;0.009894141,-0.52920353,1.5159369;0.043413747,-0.812737,1.4455718;0.045651734,-0.8327129,1.3666663;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
677;-0.101284176,-0.12907799,1.6105168;-0.09675001,-0.07131826,1.6624612;-0.08127772,0.28095722,1.721092;-0.103481,0.4752037,1.6965985;-0.26425165,0.15835652,1.7021788;-0.3346059,-0.05368388,1.7242316;-0.39777285,-0.22310816,1.7573868;-0.41883856,-0.2796244,1.7719455;0.07471418,0.1613356,1.6928222;0.15631425,-0.04274068,1.7043658;0.26232547,-0.14455396,1.6563058;0.2644381,-0.12598194,1.5874087;-0.18087804,-0.20247698,1.5909513;-0.21576232,-0.5538422,1.5752556;-0.24295568,-0.82774335,1.5511189;-0.25077155,-0.8589067,1.4751264;-0.028761882,-0.20152144,1.5870142;0.009900632,-0.52921706,1.5175339;0.04372019,-0.8157818,1.4459339;0.046258554,-0.8362259,1.3660768;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
709;-0.10128044,-0.1290905,1.612033;-0.09692008,-0.071396664,1.664182;-0.08158456,0.28091335,1.7224452;-0.103517674,0.47523004,1.6992725;-0.26425567,0.15831716,1.7032226;-0.33464077,-0.053792235,1.7246308;-0.39780703,-0.22341454,1.7579769;-0.41889024,-0.28007016,1.7727809;0.0751986,0.16077006,1.6963475;0.15477122,-0.048373915,1.7138703;0.23010936,-0.073967,1.4905936;0.23308332,-0.06611308,1.4577057;-0.18086717,-0.20251319,1.5923513;-0.21576476,-0.55384433,1.576336;-0.24314578,-0.8295225,1.551738;-0.25076795,-0.8610952,1.4751453;-0.028670004,-0.20160916,1.5887207;0.009924038,-0.52924705,1.5186754;0.043901134,-0.8174988,1.4461884;0.04672709,-0.8381978,1.3657025;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
740;-0.101281725,-0.12911943,1.6142614;-0.097166084,-0.07156826,1.6668404;-0.08237687,0.2807582,1.7247434;-0.103655905,0.4752638,1.7031602;-0.26443306,0.15819617,1.7048932;-0.33473995,-0.053953327,1.7252586;-0.3976698,-0.22393052,1.7589741;-0.4186379,-0.2808269,1.7742033;0.075694874,0.15988171,1.7006067;0.15575697,-0.050929416,1.7183821;0.24282022,-0.08274048,1.4362844;0.26210004,-0.09263967,1.3646052;-0.18086797,-0.2025804,1.594357;-0.2157724,-0.5538462,1.5779266;-0.24330491,-0.83100086,1.5524395;-0.2507324,-0.86282915,1.4753628;-0.028475076,-0.20182663,1.5913354;0.00998069,-0.5293246,1.5204355;0.044048887,-0.8189688,1.4465647;0.047120817,-0.83976746,1.365583;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
771;-0.10129426,-0.12915587,1.6166406;-0.0974406,-0.07182279,1.6698539;-0.08349249,0.28045198,1.7275752;-0.10386637,0.47529563,1.7072514;-0.26492104,0.15803184,1.7069473;-0.33493164,-0.05413069,1.7260004;-0.39732957,-0.22471717,1.7601334;-0.41801766,-0.2820068,1.7758408;0.07604677,0.15895312,1.7043992;0.17294097,-0.055311598,1.7085599;0.28847945,-0.14860536,1.5263498;0.31772208,-0.16376568,1.4273493;-0.1808834,-0.20265134,1.5964577;-0.21578382,-0.5538447,1.5796198;-0.24356692,-0.83350074,1.5533842;-0.25076625,-0.8655821,1.4758135;-0.028236778,-0.20211154,1.5941117;0.010067686,-0.52942216,1.5224379;0.044336304,-0.82157415,1.4470704;0.047688574,-0.8424123,1.3655646;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
802;-0.101303756,-0.12922089,1.6189154;-0.09770781,-0.07215415,1.6728756;-0.084770754,0.28007466,1.730485;-0.10417259,0.475284,1.711535;-0.26560763,0.1578828,1.7090851;-0.3352111,-0.05439057,1.7267308;-0.3977202,-0.22552808,1.7617943;-0.41852507,-0.28313392,1.7781941;0.076306246,0.15789774,1.7074583;0.19483677,-0.063107565,1.6851783;0.31754166,-0.17153418,1.504004;0.35843095,-0.21587734,1.4076786;-0.18090197,-0.20272352,1.5984085;-0.21579497,-0.5538377,1.5811989;-0.24380323,-0.8357581,1.5542483;-0.25081408,-0.8680746,1.476185;-0.027897215,-0.20257254,1.5968572;0.010204483,-0.52953,1.524499;0.04464148,-0.8241849,1.4476209;0.048241973,-0.84504104,1.3655645;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
834;-0.10130504,-0.12930053,1.6209449;-0.09792953,-0.07252546,1.675691;-0.08602173,0.27969626,1.7332691;-0.10449348,0.47526935,1.7155024;-0.26640993,0.15773487,1.7111344;-0.33559623,-0.054683078,1.7274945;-0.39951742,-0.2262586,1.763627;-0.4212288,-0.28407758,1.780749;0.07652021,0.15676044,1.7097248;0.20499559,-0.067774884,1.6725023;0.33620128,-0.19164123,1.5087893;0.3761545,-0.23788181,1.4088707;-0.18092133,-0.20279026,1.6001052;-0.21581633,-0.553823,1.582554;-0.24401718,-0.83762497,1.5549607;-0.25089425,-0.87012506,1.4764664;-0.027508065,-0.20311095,1.5993067;0.010352341,-0.529652,1.5264014;0.044898804,-0.8265384,1.4481571;0.048685763,-0.84738165,1.3655986;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
865;-0.1013071,-0.12936902,1.6223863;-0.098096676,-0.072855696,1.6778197;-0.087061256,0.27938178,1.735371;-0.10475004,0.47522345,1.7182976;-0.2671709,0.15759541,1.7127547;-0.33607394,-0.0549222,1.728194;-0.40567577,-0.22597662,1.7658162;-0.43110728,-0.28323507,1.7837195;0.0766964,0.15584306,1.7112219;0.20992804,-0.07017239,1.6665201;0.34242064,-0.20284176,1.5304786;0.37987727,-0.24213728,1.4350014;-0.18094331,-0.20284808,1.601292;-0.21583217,-0.5538094,1.5835172;-0.2441564,-0.8388606,1.5554514;-0.2509434,-0.8714589,1.4766774;-0.027186846,-0.20355414,1.6010053;0.010468878,-0.5297638,1.5278021;0.045059796,-0.8281897,1.4485897;0.048965402,-0.84899104,1.3656975;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
896;-0.10130996,-0.12942807,1.6235839;-0.09822954,-0.07315316,1.6796421;-0.08786717,0.27915114,1.7370394;-0.104916684,0.47520438,1.7205943;-0.2678141,0.15748632,1.7141074;-0.33654195,-0.055035003,1.7288746;-0.4111134,-0.22565284,1.7672676;-0.43916717,-0.28254384,1.785388;0.07684743,0.15509021,1.7123373;0.21085364,-0.07394595,1.6673073;0.34037715,-0.20343783,1.551295;0.3439648,-0.20237514,1.4697058;-0.18097246,-0.20291103,1.6022999;-0.21584637,-0.5537962,1.5843371;-0.24430196,-0.8402143,1.5559162;-0.2510193,-0.87292403,1.4768416;-0.026922649,-0.20391372,1.6023484;0.010572456,-0.52986026,1.5289806;0.04523461,-0.8299376,1.4490018;0.04924025,-0.8507215,1.3657595;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
