Time;SPINE_BASE_X,SPINE_BASE_Y,SPINE_BASE_Z;SPINE_MID_X,SPINE_MID_Y,SPINE_MID_Z;NECK_X,NECK_Y,NECK_Z;HEAD_X,HEAD_Y,HEAD_Z;SHOULDER_LEFT_X,SHOULDER_LEFT_Y,SHOULDER_LEFT_Z;ELBOW_LEFT_X,ELBOW_LEFT_Y,ELBOW_LEFT_Z;WRIST_LEFT_X,WRIST_LEFT_Y,WRIST_LEFT_Z;HAND_LEFT_X,HAND_LEFT_Y,HAND_LEFT_Z;SHOULDER_RIGHT_X,SHOULDER_RIGHT_Y,SHOULDER_RIGHT_Z;ELBOW_RIGHT_X,ELBOW_RIGHT_Y,ELBOW_RIGHT_Z;WRIST_RIGHT_X,WRIST_RIGHT_Y,WRIST_RIGHT_Z;HAND_RIGHT_X,HAND_RIGHT_Y,HAND_RIGHT_Z;HIP_LEFT_X,HIP_LEFT_Y,HIP_LEFT_Z;KNEE_LEFT_X,KNEE_LEFT_Y,KNEE_LEFT_Z;ANKLE_LEFT_X,ANKLE_LEFT_Y,ANKLE_LEFT_Z;FOOT_LEFT_X,FOOT_LEFT_Y,FOOT_LEFT_Z;HIP_RIGHT_X,HIP_RIGHT_Y,HIP_RIGHT_Z;KNEE_RIGHT_X,KNEE_RIGHT_Y,KNEE_RIGHT_Z;ANKLE_RIGHT_X,ANKLE_RIGHT_Y,ANKLE_RIGHT_Z;FOOT_RIGHT_X,FOOT_RIGHT_Y,FOOT_RIGHT_Z;SPINE_SHOULDER_X,SPINE_SHOULDER_Y,SPINE_SHOULDER_Z;HAND_TIP_LEFT_X,HAND_TIP_LEFT_Y,HAND_TIP_LEFT_Z;THUMB_LEFT_X,THUMB_LEFT_Y,THUMB_LEFT_Z;HAND_TIP_RIGHT_X,HAND_TIP_RIGHT_Y,HAND_TIP_RIGHT_Z;THUMB_RIGHT_X,THUMB_RIGHT_Y,THUMB_RIGHT_Z
625;-0.07518792,0.03381706,1.882341;-0.086197756,0.09469781,1.9357694;-0.108239025,0.4435944,1.9278136;-0.12082421,0.6367513,1.902989;-0.2784765,0.3179843,1.9115412;-0.31964493,0.09320117,1.9359971;-0.31136703,-0.099219166,1.9882518;-0.34278902,-0.10668456,2.0778623;0.067148894,0.32818806,1.9522476;0.13000587,0.10779319,2.0117128;0.20574516,0.12214281,2.1866605;0.23099159,0.126926,2.249426;-0.14665914,-0.04651986,1.8568999;-0.13733523,-0.4961809,1.876425;-0.050714634,-0.7747317,2.026335;-0.106361516,-0.7527337,1.9233967;0.008872293,-0.041928172,1.8853775;0.072516926,-0.4711865,1.809751;0.09069009,-0.77201486,1.8083779;0.10524058,-0.8202644,1.7179348;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
641;-0.075202435,0.03374955,1.8824428;-0.0862122,0.094635665,1.9358791;-0.10824937,0.44356683,1.9279333;-0.12082802,0.63675994,1.9031602;-0.27849793,0.3179725,1.9116527;-0.31963763,0.09320224,1.9360697;-0.32898483,-0.0660317,2.0852814;-0.34491855,-0.097856656,2.1648784;0.0671426,0.32817435,1.9523642;0.13006979,0.10785924,2.011806;0.20584092,0.122286566,2.1866999;0.23109797,0.12709567,2.249454;-0.14668016,-0.046592806,1.856998;-0.13732764,-0.49616954,1.8765385;-0.050717875,-0.7746978,2.026389;-0.108975224,-0.75214016,1.9244065;0.008861864,-0.042007513,1.8854617;0.07250695,-0.47123936,1.8098673;0.09065958,-0.77137005,1.8084106;0.105291724,-0.81979656,1.7175286;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
703;-0.07520451,0.03373763,1.8824592;-0.08621418,0.094624795,1.9358968;-0.10825049,0.44356215,1.9279532;-0.12082864,0.6367612,1.9031873;-0.27850136,0.3179702,1.9116707;-0.3196364,0.093202464,1.9360808;-0.33899653,-0.04719439,2.1402557;-0.3460307,-0.09340771,2.2083883;0.067141235,0.32817182,1.9523823;0.13007943,0.10786905,2.01182;0.20585889,0.12230682,2.1867046;0.23112011,0.12711903,2.2494562;-0.14668326,-0.046605125,1.8570132;-0.13711536,-0.49636635,1.8772851;-0.08332976,-0.76481104,1.9749392;-0.1343091,-0.74396485,1.8908874;0.008860208,-0.04202082,1.885475;0.07250261,-0.4712513,1.8098916;0.09072392,-0.76967084,1.8084065;0.105417974,-0.81818044,1.717422;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
719;-0.07520456,0.033715554,1.8824741;-0.086213715,0.09460442,1.9359145;-0.10825072,0.44355223,1.9279785;-0.12082953,0.63675946,1.9032096;-0.27850485,0.31796604,1.9116902;-0.31963503,0.093203105,1.9360898;-0.3428685,-0.039868377,2.1615405;-0.3464953,-0.09146546,2.2273273;0.067139566,0.32816905,1.9523973;0.13008694,0.10787566,2.0118308;0.20587642,0.12232569,2.1867068;0.23114388,0.12714402,2.2494545;-0.1466838,-0.04662639,1.8570253;-0.13694131,-0.49653932,1.8778973;-0.10745641,-0.75056314,1.935808;-0.15405004,-0.73953,1.8648309;0.008860062,-0.042042315,1.8854867;0.072470576,-0.4712947,1.8099704;0.090736315,-0.7692554,1.8084638;0.10545439,-0.81780815,1.7174091;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
750;-0.075202644,0.03366298,1.8824884;-0.08620877,0.09455547,1.9359369;-0.10825056,0.44352657,1.928027;-0.12083006,0.6367557,1.9032292;-0.27851227,0.31793553,1.911735;-0.31963336,0.09320409,1.9360982;-0.34530094,-0.035282347,2.1749163;-0.34678137,-0.09028458,2.2388873;0.06713792,0.32816395,1.9524117;0.1300932,0.10787993,2.0118394;0.20589575,0.12234443,2.1867049;0.23117185,0.12717183,2.249447;-0.14668271,-0.04669143,1.8570299;-0.13682152,-0.4966771,1.8783652;-0.1245545,-0.7590309,1.907134;-0.13803759,-0.79985434,1.8213208;0.008862416,-0.042089105,1.8854942;0.072163574,-0.47167614,1.8105048;0.09074125,-0.76928073,1.808691;0.105491705,-0.8178138,1.7175419;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
781;-0.07520412,0.033580035,1.8824936;-0.08620028,0.09447356,1.9359591;-0.10823711,0.44346297,1.9281341;-0.12082991,0.63674253,1.9032487;-0.2785068,0.31782404,1.9118373;-0.31963053,0.09320516,1.9361073;-0.34849504,-0.030385084,2.182131;-0.35001412,-0.08571219,2.2453108;0.067138314,0.32815272,1.9524274;0.13010077,0.10788041,2.0118437;0.20592083,0.12237187,2.1866906;0.23120804,0.12721848,2.2494214;-0.14669,-0.04680419,1.857014;-0.13675578,-0.49676445,1.8786471;-0.1381861,-0.7681205,1.8888066;-0.13604146,-0.8311332,1.7990028;0.008858293,-0.042162385,1.885482;0.07109482,-0.4726028,1.8121226;0.09061727,-0.7704065,1.8094016;0.10543318,-0.818715,1.7180736;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
813;-0.07520832,0.033450667,1.882486;-0.086184636,0.09434641,1.9359798;-0.108208835,0.44336757,1.9282889;-0.12082995,0.6367252,1.9032675;-0.2784725,0.31760484,1.9120206;-0.3196254,0.09320565,1.9361192;-0.35000563,-0.028224943,2.1827533;-0.3515802,-0.08344151,2.2475102;0.0671408,0.32813576,1.9524423;0.13012296,0.10786463,2.0118134;0.20595135,0.12241411,2.186624;0.23124407,0.1272927,2.2493336;-0.14670351,-0.0469758,1.8569764;-0.13671824,-0.49681547,1.8788055;-0.14490426,-0.7748606,1.8794404;-0.13343275,-0.8484281,1.7892462;0.008846677,-0.042272165,1.8854423;0.06965066,-0.47389534,1.8143113;0.09044297,-0.77276397,1.8104709;0.10532992,-0.82064277,1.7189064;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
860;-0.075219885,0.03326677,1.8824587;-0.08616494,0.09417366,1.9359958;-0.10817687,0.4432587,1.9284698;-0.12083014,0.63670546,1.9032868;-0.27840737,0.31727067,1.9122915;-0.31961453,0.09320462,1.936141;-0.35039878,-0.028040782,2.178863;-0.35273635,-0.08199181,2.2463167;0.067146644,0.32810965,1.9524565;0.13029438,0.10744096,2.011522;0.20596473,0.12240866,2.1864433;0.23122805,0.12737067,2.2491374;-0.1467282,-0.04721357,1.8569107;-0.13669235,-0.4968488,1.8789124;-0.13221312,-0.76364225,1.896398;-0.15016678,-0.76756215,1.8306684;0.008822568,-0.042428344,1.885363;0.06835195,-0.47504157,1.8162411;0.09027462,-0.77604175,1.8117253;0.10520281,-0.82347417,1.7199512;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
875;-0.07523143,0.033061124,1.8824201;-0.08613958,0.093979575,1.9360089;-0.10813545,0.44314095,1.928682;-0.12083009,0.6366846,1.9033053;-0.27832985,0.31691575,1.912593;-0.31959984,0.093206145,1.9361721;-0.35064772,-0.027389944,2.173426;-0.354129,-0.079414,2.2428794;0.067155674,0.32807648,1.9524685;0.13061059,0.106720544,2.0111518;0.2059977,0.12236179,2.186263;0.23122332,0.12741983,2.2489645;-0.14675371,-0.047471236,1.8568304;-0.13667785,-0.49687305,1.8789809;-0.13783824,-0.7746574,1.8925481;-0.14681183,-0.8137778,1.8086902;0.008795662,-0.04260736,1.8852603;0.06731791,-0.47595507,1.8177625;0.09016589,-0.7798243,1.8130212;0.10510889,-0.82689494,1.7210977;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
907;-0.0752385,0.032827727,1.8823708;-0.08610492,0.093762346,1.9360195;-0.10808218,0.44302592,1.9289099;-0.12082606,0.6366666,1.9033204;-0.27823487,0.31657225,1.9128997;-0.31957403,0.09321613,1.9362286;-0.35064965,-0.02684812,2.1675458;-0.35537678,-0.07673311,2.238291;0.067170374,0.3280322,1.9524753;0.13101678,0.10580799,2.0107307;0.20606051,0.122290544,2.1860585;0.231241,0.12746514,2.248779;-0.14677435,-0.047767874,1.8567271;-0.13667339,-0.49689177,1.8790121;-0.14205925,-0.7844722,1.8902009;-0.14644764,-0.8309485,1.8047727;0.0087698605,-0.042795137,1.8851502;0.0665319,-0.4766608,1.8189139;0.09010727,-0.7836953,1.814177;0.10503621,-0.83048445,1.7221614;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
