Time;SPINE_BASE_X,SPINE_BASE_Y,SPINE_BASE_Z;SPINE_MID_X,SPINE_MID_Y,SPINE_MID_Z;NECK_X,NECK_Y,NECK_Z;HEAD_X,HEAD_Y,HEAD_Z;SHOULDER_LEFT_X,SHOULDER_LEFT_Y,SHOULDER_LEFT_Z;ELBOW_LEFT_X,ELBOW_LEFT_Y,ELBOW_LEFT_Z;WRIST_LEFT_X,WRIST_LEFT_Y,WRIST_LEFT_Z;HAND_LEFT_X,HAND_LEFT_Y,HAND_LEFT_Z;SHOULDER_RIGHT_X,SHOULDER_RIGHT_Y,SHOULDER_RIGHT_Z;ELBOW_RIGHT_X,ELBOW_RIGHT_Y,ELBOW_RIGHT_Z;WRIST_RIGHT_X,WRIST_RIGHT_Y,WRIST_RIGHT_Z;HAND_RIGHT_X,HAND_RIGHT_Y,HAND_RIGHT_Z;HIP_LEFT_X,HIP_LEFT_Y,HIP_LEFT_Z;KNEE_LEFT_X,KNEE_LEFT_Y,KNEE_LEFT_Z;ANKLE_LEFT_X,ANKLE_LEFT_Y,ANKLE_LEFT_Z;FOOT_LEFT_X,FOOT_LEFT_Y,FOOT_LEFT_Z;HIP_RIGHT_X,HIP_RIGHT_Y,HIP_RIGHT_Z;KNEE_RIGHT_X,KNEE_RIGHT_Y,KNEE_RIGHT_Z;ANKLE_RIGHT_X,ANKLE_RIGHT_Y,ANKLE_RIGHT_Z;FOOT_RIGHT_X,FOOT_RIGHT_Y,FOOT_RIGHT_Z;SPINE_SHOULDER_X,SPINE_SHOULDER_Y,SPINE_SHOULDER_Z;HAND_TIP_LEFT_X,HAND_TIP_LEFT_Y,HAND_TIP_LEFT_Z;THUMB_LEFT_X,THUMB_LEFT_Y,THUMB_LEFT_Z;HAND_TIP_RIGHT_X,HAND_TIP_RIGHT_Y,HAND_TIP_RIGHT_Z;THUMB_RIGHT_X,THUMB_RIGHT_Y,THUMB_RIGHT_Z
933;-0.08631586,0.022078708,1.8965247;-0.09367337,0.083053544,1.95273;-0.10884093,0.4395528,1.9539673;-0.114557356,0.6338987,1.93348;-0.27746928,0.30830282,1.9358817;-0.3333158,0.08076075,1.9534028;-0.3828555,-0.012369734,2.166206;-0.3466443,-0.07124202,2.1582355;0.068927646,0.31452587,1.9621714;0.12902987,0.0776808,2.0126143;0.19424951,0.023824096,2.1944957;0.22215186,0.01567915,2.2665315;-0.16005424,-0.05685694,1.8721303;-0.14806695,-0.5007505,1.8980443;-0.060466636,-0.75848895,2.0518396;-0.018463343,-0.84719735,2.0367217;-0.004176827,-0.05404699,1.8945575;0.056416467,-0.47284815,1.8057038;0.086460754,-0.764517,1.7890713;0.09894147,-0.80514896,1.6997625;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
979;-0.086311415,0.022076147,1.896531;-0.09367024,0.08305376,1.9527357;-0.10881812,0.4395725,1.953977;-0.11446207,0.6341697,1.9338684;-0.27744514,0.3083169,1.9358807;-0.33328325,0.080748424,1.9533887;-0.38158587,-0.013342823,2.163325;-0.39959013,-0.011798967,2.1540244;0.06894208,0.31452683,1.9621872;0.1290425,0.07768736,2.0129764;0.19413963,0.017756118,2.1939692;0.22218505,0.0077174352,2.2663193;-0.16004993,-0.056862585,1.8721433;-0.14734788,-0.5002077,1.9018974;-0.06024979,-0.75908285,2.0522177;-0.018531354,-0.847379,2.035436;-0.004173866,-0.054046262,1.8945631;0.058208227,-0.4710764,1.8004564;0.08839965,-0.7632865,1.7854812;0.10095032,-0.80388314,1.6966914;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
995;-0.08630023,0.022075748,1.8965472;-0.093663454,0.083056554,1.952748;-0.10879254,0.43959227,1.9539869;-0.11436653,0.6344408,1.9342713;-0.27741826,0.3083326,1.9358776;-0.33325508,0.08073731,1.9533819;-0.3816469,-0.0124758845,2.1608896;-0.43183053,0.0063650617,2.155112;0.06896479,0.31452805,1.9622165;0.12906444,0.077708036,2.013694;0.19342917,0.012303434,2.1939313;0.22073224,-7.0145866E-4,2.2654521;-0.16004238,-0.056868825,1.8721603;-0.14643498,-0.49960098,1.9062405;-0.060149662,-0.7601603,2.0524569;-0.01885744,-0.8477657,2.0337515;-0.004155415,-0.054034468,1.894601;0.06008687,-0.46898234,1.7948294;0.09151958,-0.761504,1.7806635;0.104433745,-0.8019489,1.6922258;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1026;-0.086274445,0.02208517,1.8965855;-0.09365049,0.083067596,1.9527732;-0.10876613,0.43961233,1.953996;-0.11425225,0.6347372,1.9347222;-0.27738875,0.30835032,1.9358717;-0.3332367,0.080730766,1.9533775;-0.38313878,-0.009926897,2.1592488;-0.41639903,-0.007645401,2.1545384;0.06900687,0.31453416,1.9622802;0.1290762,0.07772996,2.0149155;0.19233271,0.008639367,2.1946635;0.21858352,-0.0070088925,2.2651885;-0.16002616,-0.056874733,1.8721911;-0.14554372,-0.49904048,1.9101776;-0.061511833,-0.76471287,2.049709;-0.02196697,-0.8501172,2.0245466;-0.0041020266,-0.053989757,1.8947018;0.061735764,-0.46692783,1.7896074;0.09526623,-0.7593345,1.7752981;0.10878961,-0.79952,1.6870348;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1073;-0.08622806,0.022108456,1.8966581;-0.093630634,0.08309114,1.9528197;-0.1087351,0.43963563,1.954006;-0.114108935,0.63506085,1.9352291;-0.27735743,0.30836833,1.9358641;-0.33321318,0.08072455,1.9533739;-0.3881326,-0.002217277,2.157694;-0.403195,-0.018194972,2.1554258;0.0690998,0.31458172,1.9624689;0.12906313,0.07775692,2.016395;0.19198842,0.010601749,2.1971936;0.21817052,-0.0074444297,2.2661476;-0.15999788,-0.05688029,1.8722417;-0.14476772,-0.49861,1.9134715;-0.06188424,-0.76601213,2.0503068;-0.022608057,-0.8505853,2.022931;-0.0040070224,-0.053906962,1.894891;0.063075185,-0.46520314,1.7851856;0.09870325,-0.7573414,1.7704729;0.11286776,-0.79730123,1.6823297;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1104;-0.08615874,0.02214777,1.8967661;-0.09359952,0.08313082,1.9528933;-0.10869199,0.43966937,1.9540237;-0.113960974,0.63537776,1.9357338;-0.27732024,0.30838588,1.9358523;-0.33319643,0.0807204,1.9533718;-0.389988,7.304341E-4,2.156875;-0.3928164,-0.027086288,2.1567137;0.06922822,0.31465578,1.962743;0.12902255,0.07780525,2.017895;0.19178225,0.012656803,2.1994414;0.21770729,-0.007358381,2.2669902;-0.15995684,-0.056883816,1.87231;-0.14421678,-0.49833962,1.9157697;-0.062139455,-0.76708376,2.0507624;-0.02309276,-0.8509636,2.0216925;-0.0038738097,-0.05378724,1.8951555;0.064098425,-0.46391225,1.7818334;0.10154555,-0.75570583,1.76663;0.11626664,-0.7955076,1.6785902;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1136;-0.08607359,0.022196377,1.8969017;-0.09356242,0.083179414,1.9529852;-0.1086479,0.4397037,1.9540423;-0.113819666,0.6356689,1.9361917;-0.27727437,0.30840433,1.9358369;-0.33317998,0.080713175,1.953377;-0.39139804,0.0029309546,2.1563666;-0.38520688,-0.03376484,2.157785;0.06936648,0.3147355,1.9630636;0.12897149,0.077852264,2.0192006;0.19207044,0.013814946,2.2007532;0.2176172,-0.00744776,2.267457;-0.1598952,-0.056885988,1.872406;-0.14393441,-0.49820873,1.9170291;-0.062343962,-0.76784366,2.051121;-0.023457313,-0.8512547,2.0208113;-0.0037240386,-0.053645078,1.895466;0.064805105,-0.46302953,1.7795386;0.10366693,-0.754487,1.7638388;0.11880922,-0.7941887,1.6758968;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1167;-0.08597649,0.022254791,1.8970565;-0.093519695,0.083235994,1.9530933;-0.10859954,0.43973792,1.954068;-0.11369864,0.6359119,1.9365883;-0.27722865,0.30842125,1.935821;-0.3331615,0.08070309,1.9533882;-0.39275104,0.0050113834,2.1560516;-0.37976512,-0.0377372,2.1582923;0.06952066,0.31483096,1.9634355;0.12892206,0.07794621,2.020309;0.18832429,0.09980495,2.204885;0.21019349,0.09667979,2.2695637;-0.15982458,-0.056887012,1.8725138;-0.1437332,-0.49811623,1.9179245;-0.062337894,-0.76833266,2.051613;-0.023654547,-0.8514553,2.0202692;-0.0035658684,-0.053493585,1.8957874;0.06528903,-0.46242326,1.7779857;0.105175875,-0.7536027,1.7618676;0.12061899,-0.7932447,1.6740147;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1214;-0.085877866,0.02231354,1.8972132;-0.09347604,0.08329133,1.953206;-0.1085475,0.4397703,1.9541081;-0.11357676,0.63610667,1.9369723;-0.2771848,0.30843434,1.9358073;-0.33313975,0.08068902,1.9534037;-0.3938359,0.00658791,2.155849;-0.37578782,-0.040530987,2.1587102;0.06967811,0.31492525,1.9638324;0.12889254,0.0780011,2.0212958;0.18962294,0.03509395,2.1997242;0.20892636,0.04426145,2.2630215;-0.15975119,-0.056888416,1.8726242;-0.14363143,-0.49812382,1.9183891;-0.06404241,-0.7719589,2.0473514;-0.02591504,-0.85335314,2.0138264;-0.0034148123,-0.053350445,1.8960894;0.06560311,-0.46203652,1.7769866;0.10604427,-0.7530649,1.7606664;0.12165043,-0.79267466,1.6728806;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1229;-0.08578058,0.02237,1.8973702;-0.093431525,0.08334315,1.9533224;-0.108491436,0.43979606,1.9541632;-0.11344678,0.6362702,1.9373523;-0.2771443,0.30844456,1.9357992;-0.3330917,0.08063293,1.9534564;-0.3951173,0.008309661,2.1558409;-0.3729436,-0.042445228,2.1590452;0.06984416,0.3149985,1.9642334;0.12888306,0.07800716,2.0221083;0.15406665,-0.03180057,2.175185;0.16192369,-0.06496321,2.1810446;-0.15967476,-0.056892652,1.8727407;-0.14368029,-0.49830902,1.9181502;-0.064265944,-0.7727345,2.0466206;-0.026298627,-0.8537605,2.0124059;-0.0032752026,-0.05322018,1.8963678;0.06566236,-0.46200204,1.7771426;0.106395476,-0.75271595,1.7601824;0.122065745,-0.7923557,1.6725159;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
