Time;SPINE_BASE_X,SPINE_BASE_Y,SPINE_BASE_Z;SPINE_MID_X,SPINE_MID_Y,SPINE_MID_Z;NECK_X,NECK_Y,NECK_Z;HEAD_X,HEAD_Y,HEAD_Z;SHOULDER_LEFT_X,SHOULDER_LEFT_Y,SHOULDER_LEFT_Z;ELBOW_LEFT_X,ELBOW_LEFT_Y,ELBOW_LEFT_Z;WRIST_LEFT_X,WRIST_LEFT_Y,WRIST_LEFT_Z;HAND_LEFT_X,HAND_LEFT_Y,HAND_LEFT_Z;SHOULDER_RIGHT_X,SHOULDER_RIGHT_Y,SHOULDER_RIGHT_Z;ELBOW_RIGHT_X,ELBOW_RIGHT_Y,ELBOW_RIGHT_Z;WRIST_RIGHT_X,WRIST_RIGHT_Y,WRIST_RIGHT_Z;HAND_RIGHT_X,HAND_RIGHT_Y,HAND_RIGHT_Z;HIP_LEFT_X,HIP_LEFT_Y,HIP_LEFT_Z;KNEE_LEFT_X,KNEE_LEFT_Y,KNEE_LEFT_Z;ANKLE_LEFT_X,ANKLE_LEFT_Y,ANKLE_LEFT_Z;FOOT_LEFT_X,FOOT_LEFT_Y,FOOT_LEFT_Z;HIP_RIGHT_X,HIP_RIGHT_Y,HIP_RIGHT_Z;KNEE_RIGHT_X,KNEE_RIGHT_Y,KNEE_RIGHT_Z;ANKLE_RIGHT_X,ANKLE_RIGHT_Y,ANKLE_RIGHT_Z;FOOT_RIGHT_X,FOOT_RIGHT_Y,FOOT_RIGHT_Z;SPINE_SHOULDER_X,SPINE_SHOULDER_Y,SPINE_SHOULDER_Z;HAND_TIP_LEFT_X,HAND_TIP_LEFT_Y,HAND_TIP_LEFT_Z;THUMB_LEFT_X,THUMB_LEFT_Y,THUMB_LEFT_Z;HAND_TIP_RIGHT_X,HAND_TIP_RIGHT_Y,HAND_TIP_RIGHT_Z;THUMB_RIGHT_X,THUMB_RIGHT_Y,THUMB_RIGHT_Z
921;0.0025225366,-0.14308122,1.5718442;0.012055297,-0.08594089,1.6395695;0.01716206,0.2948004,1.692686;-0.0035836257,0.49140742,1.6989403;-0.16327652,0.15709458,1.6847435;-0.2167314,-0.10932346,1.6711237;-0.2218133,-0.32860258,1.5709993;-0.220835,-0.41266337,1.5205754;0.172463,0.15709476,1.6377251;0.23519029,-0.117424935,1.5812768;0.2273396,-0.3335142,1.4738234;0.22008686,-0.41790882,1.424533;-0.075423494,-0.21541636,1.5550612;-0.13585891,-0.69565296,1.5264525;-0.18178317,-1.0606498,1.4873557;-0.20359792,-1.0974861,1.3898093;0.07563391,-0.2153949,1.5439702;0.16857634,-0.68163496,1.4374902;0.2392141,-1.0359757,1.3392285;0.2370257,-1.0612377,1.2357659;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
952;0.002521721,-0.14307922,1.5718541;0.012051507,-0.08594147,1.6395793;0.017169911,0.29478514,1.6927053;-0.0035772994,0.49140143,1.698966;-0.16327894,0.15708317,1.6847446;-0.21672991,-0.10943391,1.6710984;-0.22180846,-0.32874423,1.5709451;-0.22084473,-0.41281265,1.5205219;0.17248265,0.15706469,1.6377823;0.23519023,-0.11742939,1.5812881;0.22734326,-0.3335446,1.4738529;0.22009116,-0.41793618,1.4245546;-0.07542943,-0.21543086,1.5550727;-0.13585652,-0.6956675,1.5264511;-0.18177328,-1.0606767,1.4873446;-0.2035765,-1.0975118,1.3897995;0.07563261,-0.21538103,1.5439925;0.1685776,-0.681633,1.4374954;0.23921609,-1.035976,1.339231;0.23703435,-1.0612355,1.235773;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
983;0.0025193188,-0.14307594,1.57187;0.012044821,-0.08594192,1.6395952;0.017179618,0.29476523,1.6927317;-0.003557171,0.49139875,1.6990283;-0.16328232,0.15706968,1.684747;-0.21672925,-0.10955544,1.6710739;-0.22180319,-0.32889777,1.5708869;-0.22085455,-0.41297442,1.5204643;0.17251018,0.15702516,1.6378634;0.23518986,-0.1174357,1.5813048;0.22735092,-0.33358055,1.4738926;0.22009988,-0.4179705,1.4245874;-0.07543997,-0.21545283,1.5550904;-0.13585263,-0.695688,1.5264487;-0.1817566,-1.0607147,1.4873275;-0.20354204,-1.0975498,1.3897817;0.07562855,-0.21535666,1.5440279;0.16857982,-0.681628,1.4375023;0.23921998,-1.0359739,1.339234;0.23704898,-1.0612284,1.2357805;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1015;0.0025158755,-0.14307232,1.5718904;0.012036041,-0.08594291,1.6396154;0.0171925,0.29473898,1.6927639;-0.0035317512,0.49139515,1.6991088;-0.1632868,0.1570521,1.6847515;-0.21672755,-0.109797716,1.6710317;-0.2217988,-0.3291794,1.5707803;-0.22087015,-0.41326627,1.5203568;0.1725438,0.15697315,1.6379703;0.23519161,-0.117444225,1.5813287;0.22736165,-0.33361933,1.4739367;0.22011018,-0.41800788,1.424625;-0.07545467,-0.21548426,1.5551151;-0.13584813,-0.6957158,1.5264453;-0.18173622,-1.0607644,1.4873039;-0.20349911,-1.0975996,1.3897557;0.07562214,-0.21532448,1.5440731;0.16858214,-0.68162084,1.437511;0.23922428,-1.0359707,1.3392372;0.23706603,-1.0612186,1.2357881;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1046;0.0025116478,-0.14306764,1.5719175;0.012025408,-0.08594383,1.6396418;0.01721078,0.29470813,1.6928033;-0.0034931072,0.4913954,1.6992176;-0.16329259,0.15703218,1.6847599;-0.21672548,-0.11004613,1.6709902;-0.22179501,-0.32947037,1.5706707;-0.22088613,-0.41356778,1.5202457;0.17258778,0.15691419,1.6381115;0.23519555,-0.11745632,1.5813655;0.22738212,-0.3336658,1.4739945;0.22012575,-0.41805184,1.4246739;-0.0754721,-0.21552266,1.5551459;-0.13584375,-0.6957492,1.526441;-0.18171477,-1.0608231,1.4872754;-0.20345153,-1.0976585,1.3897228;0.07561369,-0.21528143,1.5441335;0.16858497,-0.6816106,1.4375229;0.23922952,-1.0359657,1.3392411;0.2370866,-1.0612053,1.2357968;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1093;0.0025063856,-0.14306149,1.5719508;0.012012021,-0.08594482,1.6396745;0.01723615,0.29466787,1.6928549;-0.0034377205,0.49139902,1.6993608;-0.16330089,0.15700921,1.684773;-0.2167227,-0.110308304,1.6709498;-0.2217914,-0.32977614,1.5705562;-0.22090197,-0.41388345,1.5201277;0.17264554,0.1568443,1.6383027;0.23520327,-0.117468014,1.5814207;0.22741434,-0.33371177,1.4740645;0.22014888,-0.41809648,1.424736;-0.07549405,-0.21556833,1.5551826;-0.13583866,-0.6957895,1.5264349;-0.18168852,-1.060894,1.4872377;-0.20339186,-1.0977311,1.3896775;0.07560458,-0.2152292,1.544203;0.1685883,-0.6815975,1.437538;0.23923558,-1.0359592,1.339247;0.23711142,-1.061189,1.2358079;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1124;0.0025007604,-0.1430547,1.5719938;0.011995691,-0.08594754,1.6397179;0.017271388,0.2946097,1.6929286;-0.0033845021,0.49140248,1.6995087;-0.16331005,0.1569825,1.6847906;-0.21671917,-0.11055851,1.6709125;-0.22178853,-0.33007002,1.5704474;-0.2209173,-0.41418678,1.5200149;0.17271805,0.15675569,1.6385458;0.23521446,-0.11748192,1.5814937;0.2274601,-0.33376163,1.4741478;0.22017778,-0.41814193,1.4248055;-0.07551775,-0.21562131,1.555226;-0.13583426,-0.69583637,1.5264268;-0.18166305,-1.0609754,1.4871913;-0.20332795,-1.0978143,1.3896202;0.0755952,-0.21516821,1.5442874;0.16859107,-0.6815824,1.4375564;0.23924068,-1.0359526,1.3392533;0.23713669,-1.0611715,1.2358192;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1155;0.0024941177,-0.14304854,1.5720472;0.011974394,-0.08595293,1.6397736;0.017309029,0.2945394,1.6930189;-0.0033265112,0.49140474,1.699662;-0.16331853,0.15695162,1.6848115;-0.21671465,-0.11080299,1.6708773;-0.22178629,-0.33035776,1.5703411;-0.22093183,-0.41448343,1.5199035;0.17280756,0.15664138,1.6388472;0.23523277,-0.117515564,1.5815917;0.22750865,-0.33382344,1.4742283;0.22020638,-0.41819498,1.4248676;-0.07554337,-0.21568258,1.5552766;-0.1358303,-0.6958907,1.5264168;-0.18163759,-1.0610688,1.4871359;-0.203257,-1.0979097,1.38955;0.07558478,-0.2151017,1.5443858;0.16859485,-0.6815653,1.4375796;0.23924741,-1.035945,1.3392624;0.23716943,-1.0611515,1.2358344;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1187;0.0024878515,-0.14304309,1.5721087;0.011949413,-0.085961685,1.6398407;0.017348997,0.29445317,1.6931412;-0.0032609834,0.49140558,1.6998209;-0.1633246,0.1569096,1.6848335;-0.21671015,-0.11103555,1.6708461;-0.2217831,-0.33063167,1.570241;-0.2209456,-0.41476554,1.5197978;0.17290851,0.15651926,1.6391981;0.23525465,-0.11755435,1.5817189;0.2275619,-0.33388376,1.4743145;0.2202402,-0.4182427,1.424928;-0.07556804,-0.21574868,1.5553304;-0.13582726,-0.69595057,1.5264052;-0.181615,-1.0611693,1.487075;-0.20318429,-1.0980127,1.3894719;0.07557562,-0.2150292,1.5444963;0.16859713,-0.68154687,1.437606;0.2392518,-1.035938,1.3392714;0.23719972,-1.0611314,1.2358491;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1218;0.0024834778,-0.14303778,1.5721825;0.01191815,-0.08597417,1.6399245;0.017385386,0.2943458,1.6933014;-0.0031951473,0.49140316,1.6999698;-0.16332966,0.1568633,1.6848571;-0.21670322,-0.11127256,1.6708221;-0.22178109,-0.33091015,1.5701549;-0.22097301,-0.4150524,1.5197043;0.1730647,0.15635651,1.6396637;0.23528059,-0.117606595,1.5818801;0.2276241,-0.33394566,1.4744002;0.2202838,-0.41829044,1.4249846;-0.07559119,-0.2158206,1.5553879;-0.13582525,-0.6960175,1.5263919;-0.18159574,-1.0612799,1.4870068;-0.20310418,-1.098128,1.3893813;0.07557388,-0.2149504,1.5446248;0.16859777,-0.681528,1.4376336;0.23925342,-1.0359321,1.3392783;0.2372274,-1.0611118,1.2358606;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
