Time;SPINE_BASE_X,SPINE_BASE_Y,SPINE_BASE_Z;SPINE_MID_X,SPINE_MID_Y,SPINE_MID_Z;NECK_X,NECK_Y,NECK_Z;HEAD_X,HEAD_Y,HEAD_Z;SHOULDER_LEFT_X,SHOULDER_LEFT_Y,SHOULDER_LEFT_Z;ELBOW_LEFT_X,ELBOW_LEFT_Y,ELBOW_LEFT_Z;WRIST_LEFT_X,WRIST_LEFT_Y,WRIST_LEFT_Z;HAND_LEFT_X,HAND_LEFT_Y,HAND_LEFT_Z;SHOULDER_RIGHT_X,SHOULDER_RIGHT_Y,SHOULDER_RIGHT_Z;ELBOW_RIGHT_X,ELBOW_RIGHT_Y,ELBOW_RIGHT_Z;WRIST_RIGHT_X,WRIST_RIGHT_Y,WRIST_RIGHT_Z;HAND_RIGHT_X,HAND_RIGHT_Y,HAND_RIGHT_Z;HIP_LEFT_X,HIP_LEFT_Y,HIP_LEFT_Z;KNEE_LEFT_X,KNEE_LEFT_Y,KNEE_LEFT_Z;ANKLE_LEFT_X,ANKLE_LEFT_Y,ANKLE_LEFT_Z;FOOT_LEFT_X,FOOT_LEFT_Y,FOOT_LEFT_Z;HIP_RIGHT_X,HIP_RIGHT_Y,HIP_RIGHT_Z;KNEE_RIGHT_X,KNEE_RIGHT_Y,KNEE_RIGHT_Z;ANKLE_RIGHT_X,ANKLE_RIGHT_Y,ANKLE_RIGHT_Z;FOOT_RIGHT_X,FOOT_RIGHT_Y,FOOT_RIGHT_Z;SPINE_SHOULDER_X,SPINE_SHOULDER_Y,SPINE_SHOULDER_Z;HAND_TIP_LEFT_X,HAND_TIP_LEFT_Y,HAND_TIP_LEFT_Z;THUMB_LEFT_X,THUMB_LEFT_Y,THUMB_LEFT_Z;HAND_TIP_RIGHT_X,HAND_TIP_RIGHT_Y,HAND_TIP_RIGHT_Z;THUMB_RIGHT_X,THUMB_RIGHT_Y,THUMB_RIGHT_Z
615;-0.18756765,-0.119129136,1.5915093;-0.19821511,-0.0629565,1.6524222;-0.20450532,0.29381067,1.6828374;-0.20434314,0.4883067,1.6723088;-0.37206608,0.16438837,1.6517664;-0.44027302,-0.048890308,1.6905481;-0.49796388,-0.24449086,1.7207129;-0.51719415,-0.30969104,1.7353319;-0.019674098,0.19035968,1.7154176;0.22444968,0.21346703,1.7669984;0.41233927,0.2688937,1.6816362;0.4863324,0.30023974,1.6285349;-0.26365075,-0.20311245,1.5578432;-0.30516174,-0.53839785,1.5539975;-0.34964266,-0.8976715,1.5376712;-0.34288025,-0.9432385,1.4436562;-0.10507437,-0.19142535,1.5854299;-0.07832209,-0.5232159,1.5076149;-0.049819045,-0.8767201,1.4124182;-0.031280883,-0.9019228,1.312508;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
630;-0.18754765,-0.11940924,1.5916804;-0.19823062,-0.06315102,1.6526034;-0.20450294,0.29381037,1.6830115;-0.20439622,0.48818365,1.6725193;-0.37200335,0.16434726,1.6519173;-0.43973258,-0.049586397,1.6907209;-0.4146325,-0.27435055,1.6119386;-0.39048123,-0.3549005,1.5696033;-0.019740783,0.19047688,1.7158108;0.2234898,0.21291628,1.7689813;0.4087522,0.2685496,1.6773138;0.46107846,0.3015442,1.6074761;-0.26358894,-0.20341383,1.5580238;-0.30515397,-0.5383863,1.5541798;-0.35003364,-0.9000677,1.5379056;-0.343165,-0.9461088,1.4429737;-0.10509291,-0.1915664,1.5856185;-0.07801029,-0.52244234,1.5078729;-0.04883419,-0.87886,1.4119664;-0.02999955,-0.9042835,1.3110806;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
677;-0.18754436,-0.11945091,1.5917059;-0.19823414,-0.063179664,1.6526303;-0.20450252,0.2938104,1.6830374;-0.20440206,0.4881645,1.6725496;-0.3719858,0.16434027,1.6519353;-0.43963307,-0.04970919,1.6907465;-0.3633359,-0.2917102,1.5453088;-0.33819842,-0.37208316,1.5014043;-0.01975924,0.19052634,1.7159581;0.21130648,0.20839953,1.7789655;0.37162486,0.2613462,1.6594474;0.397813,0.29190552,1.5838015;-0.26357818,-0.20345831,1.5580499;-0.30515265,-0.5383846,1.554207;-0.3500948,-0.9004388,1.5379418;-0.34320307,-0.94655555,1.4428718;-0.10509627,-0.19158006,1.5856515;-0.0779687,-0.52227145,1.5079213;-0.048686497,-0.8791846,1.4118959;-0.02980195,-0.90464234,1.3108622;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
709;-0.18753083,-0.119476385,1.5917269;-0.19823596,-0.063199714,1.6526504;-0.20449586,0.29380935,1.6830556;-0.20435064,0.4881561,1.6725779;-0.3719241,0.16433707,1.6519269;-0.43947363,-0.049871985,1.6907576;-0.34532502,-0.2978521,1.5219578;-0.31333476,-0.38037446,1.468875;-0.019869493,0.19066489,1.7163539;0.19023642,0.19672433,1.8005191;0.31084862,0.24867842,1.6359967;0.31051272,0.27489096,1.5534717;-0.263522,-0.20347038,1.5580611;-0.3051512,-0.5383833,1.5542268;-0.35015428,-0.90070456,1.5379673;-0.34323573,-0.94687843,1.4427977;-0.10508819,-0.19155781,1.5857061;-0.07792079,-0.52214575,1.5079558;-0.048564546,-0.87941086,1.4118332;-0.02961313,-0.90487826,1.310695;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
740;-0.18750308,-0.11948989,1.5917468;-0.19823754,-0.06321439,1.6526656;-0.20445776,0.29379916,1.6830752;-0.20396766,0.48815855,1.6726906;-0.37161535,0.16433953,1.6518316;-0.43896773,-0.05021578,1.6907164;-0.34432113,-0.29743406,1.5211562;-0.298733,-0.38505414,1.449781;-0.020138057,0.19090901,1.7172655;0.17198604,0.18765205,1.8110372;0.21989682,0.2404381,1.5597888;0.17012805,0.24225067,1.4987364;-0.2633912,-0.20344508,1.5580537;-0.3051493,-0.53838253,1.554241;-0.35023344,-0.9008568,1.537989;-0.34325925,-0.94707936,1.4427656;-0.10507314,-0.19150135,1.5857935;-0.0778679,-0.5220013,1.5079831;-0.048450544,-0.8795093,1.4117523;-0.02937492,-0.904938,1.310563;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
771;-0.18745409,-0.11951653,1.5917624;-0.19823755,-0.063229874,1.6526763;-0.20433447,0.29376704,1.6831219;-0.20325622,0.48817933,1.6728587;-0.37094206,0.16433449,1.6516367;-0.43853092,-0.050472874,1.690674;-0.33114216,-0.30149826,1.5042255;-0.2997486,-0.38272122,1.4512895;-0.02050325,0.19116743,1.718517;0.15414326,0.17813715,1.8122088;0.12533695,0.22155932,1.5500311;0.08880763,0.21807578,1.5305399;-0.2631902,-0.20342734,1.5580138;-0.30514723,-0.5383821,1.5542519;-0.35035366,-0.90086114,1.5380307;-0.34327915,-0.9471249,1.4428139;-0.10506076,-0.19144928,1.5858843;-0.07781068,-0.5218555,1.508007;-0.048326343,-0.8794455,1.4116647;-0.02904861,-0.9047705,1.310494;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
802;-0.18734266,-0.11960327,1.5917761;-0.19821896,-0.063279934,1.6526831;-0.20410337,0.29370663,1.6832209;-0.20223571,0.48819074,1.6730556;-0.3699189,0.16431966,1.651359;-0.43800572,-0.05075197,1.6906086;-0.22162476,0.002993025,1.5968488;-0.13943166,0.05156344,1.5799205;-0.02160887,0.19045429,1.7195249;0.14346235,0.16874854,1.8001721;0.018648438,0.20565912,1.5511721;-0.0072282827,0.2023488,1.5456058;-0.26281923,-0.2033857,1.557933;-0.30514306,-0.53838223,1.554261;-0.35055533,-0.9006373,1.5381106;-0.34333926,-0.9469368,1.4429753;-0.105058394,-0.19142586,1.5859803;-0.07773608,-0.5217093,1.508035;-0.04813996,-0.8792408,1.4115722;-0.028576765,-0.9043953,1.3104894;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
834;-0.18716592,-0.1198413,1.5917681;-0.19780517,-0.06354481,1.6527237;-0.20378731,0.2936226,1.6833693;-0.20106477,0.488156,1.6733005;-0.36889216,0.16430798,1.651099;-0.43739882,-0.05104942,1.6905204;-0.17439727,0.058263905,1.6703131;-0.0872379,0.098697886,1.6691543;-0.024410686,0.18438682,1.70861;0.13403472,0.1635325,1.7877116;-0.019484887,0.19965625,1.5504786;-0.05998673,0.19353943,1.5344777;-0.26243213,-0.20336063,1.5578477;-0.30513772,-0.5383825,1.5542688;-0.35080636,-0.8999157,1.5382304;-0.34418982,-0.9458115,1.4433415;-0.10507846,-0.19149798,1.5860645;-0.07765473,-0.5215687,1.5080703;-0.0478647,-0.8788306,1.4115282;-0.028486084,-0.9038979,1.3105465;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
865;-0.1869434,-0.12021038,1.5917516;-0.19728628,-0.06392623,1.6527783;-0.20339216,0.29352894,1.6835874;-0.19988374,0.48810232,1.6735903;-0.36796275,0.1643022,1.6508795;-0.43676275,-0.051345583,1.6904244;-0.14938542,0.10659601,1.7237128;-0.06852713,0.1356793,1.7453647;-0.02643392,0.18014501,1.7008067;0.12944481,0.16063279,1.7798795;-0.019763904,0.206645,1.5715946;-0.0863305,0.19260776,1.5329847;-0.26204428,-0.20334347,1.5577681;-0.30512872,-0.5383838,1.5542774;-0.35104346,-0.8987092,1.5383776;-0.34516585,-0.9440831,1.4438463;-0.105129525,-0.19169351,1.5861578;-0.07756166,-0.52147233,1.5081112;-0.047456402,-0.8781736,1.411569;-0.028389348,-0.90313303,1.3107729;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
896;-0.18663536,-0.12069884,1.591738;-0.19686341,-0.06434865,1.6528302;-0.2029514,0.29342055,1.6838837;-0.19866224,0.48802796,1.6739714;-0.3671191,0.16429535,1.6507045;-0.43613154,-0.051644597,1.690331;-0.15112972,0.10311801,1.738656;-0.07117676,0.13117082,1.7586784;-0.027964808,0.17755167,1.6981894;0.12729564,0.15906651,1.7743129;-0.017869288,0.20321438,1.5788988;-0.030120745,0.20829351,1.5645363;-0.26153275,-0.20332743,1.5576746;-0.30511752,-0.53838587,1.554286;-0.35135815,-0.8970623,1.5385431;-0.34592837,-0.942049,1.4444599;-0.10516749,-0.1919721,1.5862688;-0.07746764,-0.5213869,1.5081536;-0.047050875,-0.87732154,1.4116336;-0.028146338,-0.9020638,1.311153;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
