Time;SPINE_BASE_X,SPINE_BASE_Y,SPINE_BASE_Z;SPINE_MID_X,SPINE_MID_Y,SPINE_MID_Z;NECK_X,NECK_Y,NECK_Z;HEAD_X,HEAD_Y,HEAD_Z;SHOULDER_LEFT_X,SHOULDER_LEFT_Y,SHOULDER_LEFT_Z;ELBOW_LEFT_X,ELBOW_LEFT_Y,ELBOW_LEFT_Z;WRIST_LEFT_X,WRIST_LEFT_Y,WRIST_LEFT_Z;HAND_LEFT_X,HAND_LEFT_Y,HAND_LEFT_Z;SHOULDER_RIGHT_X,SHOULDER_RIGHT_Y,SHOULDER_RIGHT_Z;ELBOW_RIGHT_X,ELBOW_RIGHT_Y,ELBOW_RIGHT_Z;WRIST_RIGHT_X,WRIST_RIGHT_Y,WRIST_RIGHT_Z;HAND_RIGHT_X,HAND_RIGHT_Y,HAND_RIGHT_Z;HIP_LEFT_X,HIP_LEFT_Y,HIP_LEFT_Z;KNEE_LEFT_X,KNEE_LEFT_Y,KNEE_LEFT_Z;ANKLE_LEFT_X,ANKLE_LEFT_Y,ANKLE_LEFT_Z;FOOT_LEFT_X,FOOT_LEFT_Y,FOOT_LEFT_Z;HIP_RIGHT_X,HIP_RIGHT_Y,HIP_RIGHT_Z;KNEE_RIGHT_X,KNEE_RIGHT_Y,KNEE_RIGHT_Z;ANKLE_RIGHT_X,ANKLE_RIGHT_Y,ANKLE_RIGHT_Z;FOOT_RIGHT_X,FOOT_RIGHT_Y,FOOT_RIGHT_Z;SPINE_SHOULDER_X,SPINE_SHOULDER_Y,SPINE_SHOULDER_Z;HAND_TIP_LEFT_X,HAND_TIP_LEFT_Y,HAND_TIP_LEFT_Z;THUMB_LEFT_X,THUMB_LEFT_Y,THUMB_LEFT_Z;HAND_TIP_RIGHT_X,HAND_TIP_RIGHT_Y,HAND_TIP_RIGHT_Z;THUMB_RIGHT_X,THUMB_RIGHT_Y,THUMB_RIGHT_Z
949;0.09131363,0.019962372,1.7625351;0.083315216,0.08013094,1.8208299;0.064238355,0.4404058,1.82628;0.04390216,0.6416876,1.8160807;-0.090069644,0.30230576,1.8004942;-0.102734126,0.04647085,1.7462597;-0.056022376,-0.15460894,1.6392106;-0.025535362,-0.22848107,1.6021222;0.24956983,0.32476094,1.8224232;0.3104693,0.05945656,1.7966634;0.30860445,-0.1593176,1.7197292;0.3205497,-0.22693978,1.6919872;0.01993583,-0.060081393,1.7465591;-0.072958745,-0.3843661,1.7242886;-0.16248709,-0.6150785,1.7196312;-0.18040644,-0.65789497,1.6314142;0.17223841,-0.049126577,1.7511369;0.21838456,-0.39647183,1.7336061;0.2693026,-0.631904,1.7209731;0.28663185,-0.6733489,1.630916;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
981;0.11053775,0.02769465,1.7641956;0.102468215,0.0884944,1.8223287;0.09012416,0.45266786,1.8276955;0.06751314,0.6483675,1.8150883;-0.0678677,0.31590286,1.8002249;-0.08448332,0.06129438,1.7475854;-0.0216668,-0.1324455,1.644504;0.019489896,-0.20370345,1.6024963;0.27013776,0.33459172,1.8277119;0.32844272,0.06831169,1.7980974;0.3241735,-0.150898,1.7202793;0.33387312,-0.22424994,1.6916763;0.03918157,-0.051829405,1.7468348;-0.037721254,-0.36930284,1.7126448;-0.10919767,-0.6151359,1.7080967;-0.12004024,-0.6609302,1.6194662;0.1904474,-0.04267404,1.7542349;0.23065643,-0.39538187,1.7387737;0.28131208,-0.6367165,1.7282807;0.29722935,-0.6785851,1.6366669;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1012;0.12882635,0.03539734,1.7661105;0.11947748,0.09622532,1.8240458;0.10761554,0.4609526,1.8293568;0.08906832,0.65407294,1.8153954;-0.04960977,0.32632264,1.7994454;-0.06688235,0.07572569,1.747496;0.011259928,-0.11255478,1.6453704;0.054068245,-0.18593214,1.6006379;0.29082045,0.34338173,1.834827;0.34435084,0.074153386,1.800838;0.33650357,-0.14618199,1.7214358;0.34524018,-0.2228474,1.6923563;0.056889247,-0.04355152,1.7463138;0.00296879,-0.361713,1.7002193;-0.05262492,-0.61457676,1.6984534;-0.057011146,-0.6640459,1.6102644;0.20960002,-0.036173757,1.7587832;0.24218805,-0.39571515,1.7446009;0.28964463,-0.640391,1.7348226;0.30609998,-0.68320245,1.6434907;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1043;0.14404607,0.0414458,1.7677873;0.13369592,0.102375485,1.8256558;0.12300369,0.46810094,1.8317071;0.10957817,0.65868664,1.8167568;-0.035827383,0.3336203,1.7988807;-0.053099062,0.08483768,1.745708;0.05404313,-0.11863395,1.6273597;0.073590174,-0.18291676,1.5955672;0.30918014,0.3513586,1.8425318;0.35730204,0.0785249,1.804198;0.3481486,-0.14480095,1.723519;0.35406768,-0.22369434,1.6942369;0.07123223,-0.03751259,1.7454326;0.02519089,-0.36236265,1.6939864;-0.0061064567,-0.6188288,1.6924559;-0.0016908031,-0.67119306,1.6046115;0.22549784,-0.0312746,1.762873;0.25373957,-0.39805284,1.7507273;0.29493386,-0.6426563,1.7395318;0.31176165,-0.68610394,1.6485507;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1074;0.16009922,0.046217747,1.7694905;0.1480856,0.10719589,1.8272926;0.13577607,0.4733069,1.8339401;0.12715931,0.66120905,1.8185073;-0.022495976,0.33985537,1.7983588;-0.03864734,0.09028791,1.7414019;0.06911145,-0.11301607,1.6240233;0.086290896,-0.1794981,1.5927361;0.32155472,0.35563165,1.8476353;0.3692869,0.08131426,1.8088385;0.36062467,-0.14802048,1.7277629;0.36313733,-0.22652113,1.6993787;0.0879162,-0.032296024,1.743883;0.050734147,-0.36943218,1.690663;0.046197794,-0.62251467,1.6881441;0.0584976,-0.6749746,1.6002707;0.2425271,-0.027611097,1.7674463;0.26342225,-0.4020414,1.7560089;0.29842475,-0.64434814,1.7433286;0.31568,-0.6883201,1.6527883;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1121;0.17556933,0.048774898,1.771296;0.16200215,0.11001927,1.8290498;0.14983287,0.4773707,1.8369433;0.14197443,0.66253304,1.820248;-0.006337557,0.34501404,1.7971113;-0.02727465,0.09304334,1.736664;0.07755674,-0.109788515,1.6215905;0.09453232,-0.17974518,1.5884722;0.3334949,0.35779896,1.8531083;0.38013455,0.08281176,1.8146302;0.3708773,-0.15166874,1.7331122;0.37114793,-0.23003668,1.7059307;0.10463381,-0.02927671,1.7425798;0.075455174,-0.3841188,1.6899316;0.0877402,-0.62435174,1.6872412;0.111707665,-0.67655,1.6002914;0.25713652,-0.02585053,1.7716179;0.27424747,-0.40868908,1.7609968;0.3009489,-0.64557725,1.7462236;0.31872028,-0.6899823,1.6561444;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1137;0.19118893,0.04963634,1.7734059;0.17546782,0.11124587,1.8309455;0.1609952,0.47968,1.8393528;0.15532453,0.6632568,1.8221757;0.0066472986,0.34752652,1.7954432;-0.0156886,0.0935008,1.7302679;0.08451974,-0.11077075,1.6170954;0.09967422,-0.18106285,1.5827943;0.34569132,0.35817593,1.8591118;0.388944,0.08299872,1.8205673;0.38009477,-0.15357432,1.7401356;0.3783029,-0.23336916,1.7133564;0.12114715,-0.028293274,1.7416844;0.11118934,-0.42742172,1.6993493;0.12149836,-0.6569626,1.6948094;0.11264514,-0.60842645,1.6727592;0.2736392,-0.025818516,1.7767048;0.28419247,-0.41652453,1.7642952;0.30303898,-0.6476802,1.7489159;0.32119054,-0.6919096,1.658541;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1184;0.20539628,0.04920066,1.7756076;0.18774346,0.11124762,1.8328929;0.17155486,0.48101735,1.8418082;0.16953222,0.6631121,1.8245105;0.01947179,0.34825644,1.7929524;-0.006220902,0.09244303,1.7244338;0.08715213,-0.11312043,1.6132675;0.10242357,-0.18235332,1.5778226;0.355898,0.35744822,1.8646476;0.39700916,0.08224259,1.8275652;0.3886949,-0.15451807,1.7483131;0.38489416,-0.23641257,1.720013;0.13644662,-0.028750284,1.7413574;0.13779137,-0.45713767,1.7108855;0.14251561,-0.67870957,1.7024735;0.14384422,-0.5947385,1.6916925;0.28754976,-0.026616162,1.7812327;0.30631685,-0.4406821,1.7670329;0.30333883,-0.6635955,1.7549014;0.3479897,-0.72453415,1.717468;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1215;0.21711624,0.048024822,1.7777401;0.19783977,0.11042677,1.8347179;0.18019287,0.48125368,1.843854;0.18072882,0.6625366,1.826688;0.030495847,0.34777403,1.7902431;9.279032E-4,0.09112076,1.7198422;0.08708934,-0.11614192,1.6106192;0.103979856,-0.18362336,1.5737135;0.3646636,0.35511598,1.8697106;0.40502375,0.07997913,1.8362199;0.3942389,-0.15513852,1.7541101;0.39628306,-0.24107368,1.7292078;0.14936034,-0.030029474,1.7413809;0.15369458,-0.47120246,1.718694;0.15247166,-0.6922745,1.7075275;0.15819737,-0.5865342,1.7085528;0.2990442,-0.028073316,1.7855067;0.31588045,-0.45290032,1.7680582;0.30455327,-0.67767775,1.7585118;0.35520524,-0.6555925,1.7497197;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
1246;0.22560407,0.04687969,1.7795274;0.20515506,0.109520406,1.8362415;0.18694353,0.4810877,1.8456651;0.19092058,0.66206676,1.8290249;0.03970837,0.34684646,1.7876703;0.0058088335,0.090020634,1.7166432;0.086959265,-0.11867387,1.608633;0.10522034,-0.18495591,1.5701613;0.37142006,0.35266644,1.8742418;0.41127613,0.07744512,1.8440781;0.39967707,-0.15326385,1.7620664;0.40254438,-0.24247001,1.7344643;0.15861903,-0.031126333,1.7415215;0.16249295,-0.47910452,1.7225876;0.16057658,-0.7020666,1.7140783;0.14815623,-0.59693605,1.7084734;0.30725646,-0.029451827,1.7889904;0.32133004,-0.46068713,1.7684708;0.30652937,-0.6889088,1.7603242;0.3208963,-0.6226837,1.7744408;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
