Time;SPINE_BASE_X,SPINE_BASE_Y,SPINE_BASE_Z;SPINE_MID_X,SPINE_MID_Y,SPINE_MID_Z;NECK_X,NECK_Y,NECK_Z;HEAD_X,HEAD_Y,HEAD_Z;SHOULDER_LEFT_X,SHOULDER_LEFT_Y,SHOULDER_LEFT_Z;ELBOW_LEFT_X,ELBOW_LEFT_Y,ELBOW_LEFT_Z;WRIST_LEFT_X,WRIST_LEFT_Y,WRIST_LEFT_Z;HAND_LEFT_X,HAND_LEFT_Y,HAND_LEFT_Z;SHOULDER_RIGHT_X,SHOULDER_RIGHT_Y,SHOULDER_RIGHT_Z;ELBOW_RIGHT_X,ELBOW_RIGHT_Y,ELBOW_RIGHT_Z;WRIST_RIGHT_X,WRIST_RIGHT_Y,WRIST_RIGHT_Z;HAND_RIGHT_X,HAND_RIGHT_Y,HAND_RIGHT_Z;HIP_LEFT_X,HIP_LEFT_Y,HIP_LEFT_Z;KNEE_LEFT_X,KNEE_LEFT_Y,KNEE_LEFT_Z;ANKLE_LEFT_X,ANKLE_LEFT_Y,ANKLE_LEFT_Z;FOOT_LEFT_X,FOOT_LEFT_Y,FOOT_LEFT_Z;HIP_RIGHT_X,HIP_RIGHT_Y,HIP_RIGHT_Z;KNEE_RIGHT_X,KNEE_RIGHT_Y,KNEE_RIGHT_Z;ANKLE_RIGHT_X,ANKLE_RIGHT_Y,ANKLE_RIGHT_Z;FOOT_RIGHT_X,FOOT_RIGHT_Y,FOOT_RIGHT_Z;SPINE_SHOULDER_X,SPINE_SHOULDER_Y,SPINE_SHOULDER_Z;HAND_TIP_LEFT_X,HAND_TIP_LEFT_Y,HAND_TIP_LEFT_Z;THUMB_LEFT_X,THUMB_LEFT_Y,THUMB_LEFT_Z;HAND_TIP_RIGHT_X,HAND_TIP_RIGHT_Y,HAND_TIP_RIGHT_Z;THUMB_RIGHT_X,THUMB_RIGHT_Y,THUMB_RIGHT_Z
604;-0.02244891,0.028037757,1.9028562;-0.028077042,0.08990351,1.959461;-0.04057418,0.45001376,1.9597923;-0.047045805,0.64841443,1.9462854;-0.21237577,0.3221305,1.9426988;-0.26377958,0.09824842,1.9720165;-0.3119344,-0.10174467,1.9958494;-0.34338117,-0.11682251,2.086568;0.13462822,0.32143953,1.9607114;0.19719565,0.08854137,2.0183356;0.19668756,-0.06814605,2.143116;0.1965182,-0.12037519,2.189271;-0.097198024,-0.04925802,1.8808441;-0.10185773,-0.49790394,1.9170645;-0.10402878,-0.8500433,1.903051;-0.099326044,-0.89580154,1.807949;0.05895378,-0.049568955,1.8989444;0.11539593,-0.4552589,1.7673293;0.16974375,-0.8281693,1.7492089;0.1836208,-0.87198526,1.6540884;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
636;-0.022463335,0.02807657,1.9028474;-0.028127033,0.08993245,1.9594246;-0.040589068,0.44999662,1.9597155;-0.046909302,0.6483617,1.9461248;-0.21238768,0.32214063,1.9426305;-0.2637212,0.0982182,1.9718695;-0.32910553,-0.006717121,2.1018915;-0.3571658,0.034630112,2.145426;0.13460913,0.32111144,1.9608477;0.19638896,0.08736755,2.0178876;0.19969685,-0.071760565,2.1398904;0.20198306,-0.10944664,2.1961513;-0.09722037,-0.049154773,1.880894;-0.10213477,-0.49771842,1.9168743;-0.09066237,-0.8366697,1.9351768;-0.082251094,-0.89447385,1.8408812;0.058946464,-0.049573924,1.8989394;0.1154287,-0.4552729,1.767247;0.16866842,-0.8189779,1.7489448;0.18341172,-0.86515844,1.6487926;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
667;-0.022465877,0.028082805,1.9028466;-0.028135374,0.08993715,1.9594196;-0.0405913,0.44999403,1.9597038;-0.046887245,0.64835376,1.9460983;-0.21238947,0.32214218,1.9426203;-0.26372817,0.098276764,1.9718195;-0.3397974,0.051059075,2.1664066;-0.3652965,0.114947386,2.1785285;0.13461268,0.32105574,1.9608828;0.1961824,0.08715197,2.0177877;0.2002856,-0.072487906,2.1391757;0.20313707,-0.10716995,2.197427;-0.09722446,-0.049138702,1.880902;-0.102179095,-0.4976903,1.9168484;-0.09048631,-0.8332133,1.937253;-0.082461275,-0.89128804,1.8419877;0.05894497,-0.04957474,1.8989398;0.115433656,-0.455275,1.7672346;0.16845001,-0.8166207,1.7489053;0.1833444,-0.86304986,1.6481252;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
698;-0.022469481,0.02808636,1.9028494;-0.028145175,0.089939006,1.959419;-0.040592786,0.44998658,1.9596962;-0.046868257,0.6483458,1.946073;-0.21239081,0.32214332,1.9426126;-0.26373222,0.098295346,1.9717959;-0.3437094,0.07126786,2.189252;-0.36907655,0.106204994,2.2231507;0.13462502,0.32097,1.9609565;0.19593583,0.08689874,2.0177147;0.20069234,-0.07298158,2.138767;0.20402186,-0.10555678,2.1984122;-0.09722924,-0.04912684,1.8809104;-0.10221604,-0.49766955,1.9168341;-0.08858575,-0.82996047,1.9416047;-0.07983335,-0.8887195,1.8475659;0.058939766,-0.049581774,1.8989499;0.115431696,-0.45528615,1.7672551;0.16838028,-0.81429595,1.7491759;0.18343472,-0.8604182,1.6485552;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
729;-0.022477437,0.028082315,1.9028596;-0.028162055,0.08993189,1.9594264;-0.040594384,0.4499644,1.9596953;-0.0468438,0.64830434,1.9460175;-0.21239196,0.32214323,1.9426081;-0.26374397,0.09829871,1.9717864;-0.34619114,0.084125146,2.20372;-0.3709969,0.100760445,2.2454915;0.13464075,0.32080027,1.9611043;0.19560988,0.086590774,2.017668;0.201031,-0.07337158,2.1385016;0.20468782,-0.10443796,2.1991389;-0.09723746,-0.049120788,1.8809222;-0.10224906,-0.49765742,1.9168317;-0.09498306,-0.82611305,1.9347342;-0.08858334,-0.88141197,1.8399341;0.05892461,-0.04960838,1.8989756;0.115096115,-0.4558188,1.7683926;0.16767833,-0.8122612,1.7503203;0.18245766,-0.8576778,1.6509869;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
761;-0.022494795,0.028067175,1.9028788;-0.028194629,0.08990836,1.9594451;-0.04060238,0.44990572,1.9597152;-0.046805672,0.6481899,1.9459037;-0.21239507,0.32213494,1.9426117;-0.263777,0.098288566,1.9717871;-0.34473446,0.06906504,2.1886964;-0.3710396,0.079826,2.2549124;0.1346752,0.32058814,1.9613488;0.19505306,0.08613225,2.0176377;0.20133173,-0.07372415,2.1383371;0.2051801,-0.103626974,2.199656;-0.097261444,-0.049130715,1.8809415;-0.10234956,-0.49771273,1.916756;-0.08789014,-0.7766116,1.9417067;-0.08039909,-0.8469393,1.8505752;0.058899187,-0.04965008,1.8990107;0.11078763,-0.46087423,1.7810813;0.16244195,-0.80042386,1.7595849;0.17689295,-0.84415436,1.6627067;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
792;-0.022538,0.028021116,1.9029152;-0.028261855,0.08984136,1.9594853;-0.04062957,0.4497433,1.9597781;-0.046760775,0.6480241,1.9457659;-0.2124058,0.3220967,1.9426378;-0.26398596,0.09783715,1.9721617;-0.32838827,0.038341906,2.1857781;-0.34511274,0.007245497,2.2486658;0.13472411,0.3203344,1.9616768;0.19464879,0.08575996,2.0176063;0.20164187,-0.07414309,2.1381538;0.20561902,-0.10315301,2.1999533;-0.097335055,-0.049191773,1.8809899;-0.102565005,-0.4979408,1.9165214;-0.08384567,-0.7426373,1.9444792;-0.07565545,-0.8256211,1.8555955;0.05884975,-0.049724907,1.8990532;0.10695375,-0.46588165,1.7921724;0.15420346,-0.7842436,1.7705871;0.16859765,-0.8278511,1.6745167;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
823;-0.022601755,0.027940135,1.9029635;-0.028353626,0.08972504,1.9595408;-0.040668737,0.44945666,1.9598904;-0.04671902,0.6477909,1.9456332;-0.21242808,0.321987,1.9427077;-0.26423565,0.09698061,1.972768;-0.3153271,0.009431339,2.1748219;-0.3260111,-0.0400972,2.2397015;0.13479662,0.32005244,1.9620614;0.19400866,0.085126296,2.0175123;0.20269445,-0.073877566,2.1392922;0.20598021,-0.10270898,2.2003736;-0.09745318,-0.0493185,1.8810577;-0.102862194,-0.49834406,1.9160683;-0.10114778,-0.72793514,1.9194522;-0.088902205,-0.80246615,1.837629;0.058784112,-0.049833667,1.8990961;0.10396495,-0.47007772,1.8005816;0.1488514,-0.7759167,1.7779037;0.16302672,-0.81918466,1.6826556;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
854;-0.022677034,0.027839899,1.9030187;-0.028455975,0.08958123,1.9596074;-0.04070979,0.4491062,1.9600466;-0.04669828,0.6475501,1.9455099;-0.21246202,0.32183594,1.942818;-0.26444858,0.09607528,1.9734046;-0.3084264,-0.0054686293,2.1687036;-0.31784117,-0.059718013,2.2360299;0.13486895,0.31975877,1.9624534;0.19367936,0.08473433,2.0174966;0.20298435,-0.07400733,2.1396155;0.20623492,-0.10239295,2.2006824;-0.097586386,-0.049466413,1.8811306;-0.10319789,-0.4987834,1.9153998;-0.095025696,-0.72259766,1.9279392;-0.08444592,-0.7954576,1.8435779;0.058707513,-0.049963858,1.8991401;0.10211981,-0.47279438,1.8058017;0.1446472,-0.7682427,1.7832975;0.15884006,-0.8115695,1.6881927;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
901;-0.02276032,0.027723046,1.9030782;-0.028566774,0.08941779,1.9596806;-0.04076422,0.44874957,1.9602275;-0.046688795,0.6473406,1.9454217;-0.21249118,0.32167754,1.9429352;-0.2645878,0.09538184,1.9739287;-0.30407855,-0.014451572,2.164849;-0.31280595,-0.071357116,2.233852;0.13493225,0.3194721,1.962822;0.19338739,0.08427591,2.0175455;0.20261359,-0.07323951,2.1420298;0.20741357,-0.10089403,2.2021472;-0.097727805,-0.04964559,1.8812026;-0.1036603,-0.49925455,1.9142989;-0.10460496,-0.7224476,1.9134448;-0.092406295,-0.7864319,1.8320928;0.058628958,-0.050094377,1.8991829;0.10098992,-0.4744523,1.8090464;0.14221604,-0.7640305,1.7864422;0.15636991,-0.8072464,1.6915447;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
